Alpha,T1-38.9 m/s-LLT, , 
          -15,    0.06007804, , 
       -14.75,    0.05798806, , 
        -14.5,    0.05586924, , 
       -14.25,    0.05378179, , 
          -14,    0.05171899, , 
       -13.75,    0.04968994, , 
        -13.5,    0.04769324, , 
       -13.25,     0.0457284, , 
          -13,    0.04379785, , 
       -12.75,    0.04190224, , 
        -12.5,    0.04004265, , 
       -12.25,    0.03821824, , 
          -12,    0.03643201, , 
       -11.75,    0.03468299, , 
        -11.5,    0.03297308, , 
       -11.25,    0.03130196, , 
          -11,    0.02966994, , 
       -10.75,    0.02807927, , 
        -10.5,    0.02652735, , 
       -10.25,    0.02501731, , 
          -10,    0.02354924, , 
        -9.75,    0.02212184, , 
         -9.5,    0.02073745, , 
        -9.25,    0.01939522, , 
           -9,    0.01809581, , 
        -8.75,    0.01684001, , 
         -8.5,    0.01562482, , 
        -8.25,    0.01445816, , 
           -8,    0.01333094, , 
        -7.75,    0.01225263, , 
         -7.5,    0.01121447, , 
        -7.25,    0.01022485, , 
           -7,   0.009276834, , 
        -6.75,   0.008376994, , 
         -6.5,   0.007519302, , 
        -6.25,   0.006710133, , 
           -6,   0.005943662, , 
        -5.75,   0.005225815, , 
         -5.5,   0.004551058, , 
        -5.25,   0.003924971, , 
           -5,   0.003342644, , 
        -4.75,   0.002808677, , 
         -4.5,   0.002319244, , 
        -4.25,   0.001877025, , 
           -4,   0.001481521, , 
        -3.75,   0.001133225, , 
         -3.5,  0.0008303749, , 
        -3.25,  0.0005748465, , 
           -3,  0.0003661065, , 
        -2.75,  0.0002042435, , 
         -2.5,  8.924037e-05, , 
        -2.25,  2.114236e-05, , 
           -2, -3.047492e-08, , 
        -1.75,  2.573147e-05, , 
         -1.5,  9.843695e-05, , 
        -1.25,  0.0002180828, , 
           -1,   0.000384663, , 
        -0.75,  0.0005981778, , 
         -0.5,  0.0008585634, , 
        -0.25,   0.001165833, , 
            0,   0.001519934, , 
         0.25,   0.001920786, , 
          0.5,   0.002368438, , 
         0.75,   0.002862672, , 
            1,   0.003403567, , 
         1.25,   0.003990999, , 
          1.5,   0.004623443, , 
         1.75,   0.005304984, , 
            2,   0.006031499, , 
         2.25,    0.00680248, , 
          2.5,   0.007622605, , 
         2.75,   0.008485444, , 
            3,   0.009397565, , 
         3.25,    0.01035147, , 
          3.5,    0.01135485, , 
         3.75,    0.01239963, , 
            4,    0.01349337, , 
         4.25,    0.01462818, , 
          4.5,    0.01581202, , 
         4.75,    0.01703595, , 
            5,    0.01830592, , 
         5.25,    0.01962342, , 
          5.5,    0.02097946, , 
         5.75,    0.02238411, , 
            6,    0.02382732, , 
         6.25,    0.02531513, , 
          6.5,    0.02684968, , 
         6.75,    0.02842127, , 
            7,    0.03003635, , 
         7.25,    0.03169449, , 
          7.5,    0.03339377, , 
         7.75,    0.03513396, , 
            8,     0.0369152, , 
         8.25,    0.03873626, , 
          8.5,    0.04059791, , 
         8.75,    0.04249806, , 
            9,    0.04443735, , 
         9.25,    0.04641499, , 
          9.5,    0.04843069, , 
         9.75,    0.05048287, , 
           10,    0.05257147, , 
        10.25,    0.05469811, , 
         10.5,    0.05685697, , 
        10.75,    0.05905221, , 
           11,    0.06128102, , 
        11.25,    0.06354017, , 
         11.5,    0.06583619, , 
        11.75,    0.06815823, , 
           12,    0.07051199, , 
        12.25,    0.07289501, , 
         12.5,    0.07530467, , 
        12.75,    0.07774376, , 
           13,    0.08020127, , 
        13.25,    0.08268847, , 
         13.5,    0.08519229, , 
        13.75,    0.08771575, , 
           14,    0.09026168, , 
        14.25,    0.09281446, , 
         14.5,    0.09538886, , 
        14.75,    0.09796556, , 
           15,     0.1005487, , 
        15.25,     0.1031355, , 
         15.5,     0.1057107, , 
        15.75,     0.1082359, , 
           16,     0.1106887, , 
        16.25,     0.1131103, , 
         16.5,     0.1155538, , 
        16.75,     0.1179284, , 
           17,     0.1202967, , 
        17.25,     0.1226692, , 
         17.5,     0.1249819, , 
        17.75,     0.1272201, , 
           18,     0.1294504, , 
        18.25,     0.1316519, , 
         18.5,     0.1338132, , 
        18.75,     0.1359198, , 
           19,     0.1379526, , 
        19.25,     0.1399025, , 
         19.5,     0.1417837, , 
        19.75,     0.1436323, , 
           20,     0.1453921, , 
        20.25,     0.1470916, , 
         20.5,     0.1486577, , 

