Cl,cd, , 
-0.6623918,0.194416, , 
-0.6481135,0.1875351, , 
-0.6376191,0.1815251, , 
-0.6219652,0.1732593, , 
-0.6092423,0.1662471, , 
-0.5998449,0.1594931, , 
-0.587773,0.1517611, , 
-0.5773932,0.1447321, , 
-0.572608,0.1376466, , 
-0.558544,0.1300804, , 
-0.555305,0.1231881, , 
-0.5432163,0.1153353, , 
-0.5358837,0.108212, , 
-0.5324372,0.1005165, , 
-0.5216105,0.09353337, , 
-0.3792972,0.04344903, , 
-0.2242397,0.01849321, , 
-0.1724121,0.01571897, , 
-0.1210236,0.01378529, , 
-0.06639903,0.01139192, , 
-0.01650185,0.009036788, , 
0.0327743,0.009230995, , 
0.08165612,0.009520905, , 
0.1298997,0.009931176, , 
0.1999358,0.01041952, , 
0.2956812,0.01067621, , 
0.3884554,0.01065545, , 
0.467442,0.01044371, , 
0.5296408,0.0102249, , 
0.580491,0.01011452, , 
0.6243902,0.01021459, , 
0.6676195,0.01092854, , 
0.6913579,0.01545748, , 
0.7338453,0.01825128, , 
0.7806763,0.02151236, , 
0.8319621,0.0255408, , 
0.8816836,0.03141874, , 
