Cl,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
   -0.3782239,     0.1899889, , 
   -0.3698167,     0.1849346, , 
    -0.361717,     0.1798789, , 
   -0.3540493,     0.1748097, , 
   -0.3469547,     0.1697096, , 
   -0.3406008,     0.1645678, , 
   -0.3352409,     0.1593524, , 
   -0.3311721,      0.154008, , 
   -0.3290146,     0.1484883, , 
   -0.3297282,     0.1426992, , 
   -0.3352227,     0.1364731, , 
   -0.3479428,     0.1295803, , 
   -0.3749324,     0.1206608, , 
   -0.7668454,    0.04669421, , 
   -0.8086031,    0.03653469, , 
   -0.8239517,    0.02987041, , 
    -0.821264,    0.02499645, , 
   -0.8093823,    0.02122816, , 
   -0.7952628,    0.01830435, , 
   -0.7771077,     0.0159645, , 
   -0.7509613,    0.01404284, , 
   -0.7191725,    0.01248428, , 
   -0.6827732,    0.01122637, , 
   -0.6429106,    0.01020268, , 
   -0.6004752,   0.009362076, , 
   -0.5561634,    0.00866109, , 
   -0.5104439,   0.008070457, , 
   -0.4636294,   0.007570627, , 
    -0.415951,   0.007146519, , 
   -0.3675849,   0.006787349, , 
    -0.318659,   0.006484059, , 
   -0.2692842,   0.006230312, , 
   -0.2195543,   0.006020403, , 
   -0.1695467,   0.005849956, , 
   -0.1193374,   0.005715432, , 
  -0.06899127,   0.005614132, , 
  -0.01856065,   0.005544216, , 
   0.03188887,   0.005502959, , 
   0.08229557,   0.005489598, , 
    0.1326071,   0.005503643, , 
    0.1827716,   0.005544285, , 
    0.2327278,   0.005610758, , 
    0.2824146,   0.005703951, , 
    0.3317603,   0.005825532, , 
    0.3807016,   0.005975198, , 
    0.4291555,   0.006154017, , 
    0.4770383,   0.006364282, , 
    0.5242348,   0.006608287, , 
    0.5706222,   0.006888522, , 
    0.6160649,   0.007207383, , 
    0.6603875,   0.007568309, , 
    0.7033729,   0.007974825, , 
    0.7447144,   0.008433323, , 
    0.7838259,   0.008946178, , 
    0.8186854,   0.009504867, , 
    0.8525971,    0.01016173, , 
    0.8859622,    0.01094929, , 
     0.917144,     0.0118755, , 
     0.945779,    0.01297804, , 
    0.9716589,    0.01431469, , 
    0.9946552,     0.0159588, , 
     1.014662,    0.01799751, , 
     1.031348,    0.02052811, , 
     1.044557,    0.02365383, , 
     1.053995,    0.02748922, , 
     1.059184,    0.03214908, , 
     1.059891,     0.0376807, , 
     1.056279,    0.04409177, , 
     1.048549,    0.05131112, , 
     1.036654,    0.05920022, , 
     1.021306,    0.06752776, , 
     1.003618,    0.07598014, , 
    0.9844168,    0.08423188, , 
    0.9638762,    0.09196179, , 
    0.9377386,    0.09865267, , 
     0.919299,     0.1041153, , 
    0.9111266,      0.108779, , 
    0.9048334,     0.1133828, , 
    0.8866081,     0.1199318, , 

