Cl,T1_Re0.145_M0.00_N9.0, , 
   -0.6343523,     0.2389325, , 
   -0.6156872,     0.2328448, , 
    -0.600079,     0.2268319, , 
   -0.3392758,     0.1723502, , 
   -0.3366268,     0.1687087, , 
   -0.3236144,     0.1634165, , 
   -0.3152899,     0.1591714, , 
   -0.3171157,     0.1554276, , 
   -0.3015495,     0.1504446, , 
   -0.3097922,     0.1477427, , 
   -0.2939988,     0.1422934, , 
   -0.3083753,     0.1399054, , 
   -0.2902807,     0.1338216, , 
   -0.3013039,     0.1291659, , 
   -0.2855306,     0.1229184, , 
   -0.3031001,     0.1170536, , 
   -0.2823003,     0.1111258, , 
    -0.293566,     0.1041907, , 
   -0.2963347,    0.09810119, , 
   -0.2994768,     0.0913849, , 
    -0.337045,    0.08394831, , 
   -0.3291068,    0.07872495, , 
   -0.3712412,     0.0728415, , 
   -0.4657147,    0.06628776, , 
   -0.5668956,    0.03119258, , 
   -0.5214697,    0.02686729, , 
   -0.4406925,      0.024404, , 
    -0.358043,    0.02245439, , 
   -0.2797654,    0.02087763, , 
   -0.1995883,    0.01953072, , 
    -0.121283,    0.01836275, , 
  -0.04737234,    0.01733153, , 
   0.03068155,    0.01620886, , 
    0.1555289,    0.01341167, , 
    0.2505196,    0.01285261, , 
    0.3505023,    0.01234955, , 
    0.4006129,    0.01211309, , 
    0.4507793,     0.0120153, , 
    0.5008903,    0.01204929, , 
    0.5508935,    0.01220441, , 
    0.6011893,    0.01245183, , 
    0.6514177,    0.01277862, , 
    0.7018827,    0.01316556, , 
    0.7529017,     0.0135922, , 
    0.8049629,    0.01403903, , 
    0.8546579,    0.01452037, , 
    0.9044808,    0.01501153, , 
    0.9535727,    0.01548708, , 
      1.00112,    0.01594531, , 
     1.047163,    0.01640928, , 
      1.09093,     0.0169106, , 
     1.131629,    0.01745762, , 
     1.167926,    0.01816335, , 
     1.196979,     0.0193524, , 
     1.214638,    0.02137931, , 
     1.220245,    0.02410844, , 
     1.227639,    0.02702845, , 
     1.237289,    0.03013812, , 
     1.252201,    0.03323252, , 
     1.271513,    0.03642534, , 
     1.294492,     0.0395663, , 
     1.322744,    0.04276945, , 
     1.351981,    0.04610378, , 
     1.369998,    0.05015076, , 
     1.388263,    0.05474931, , 
     1.385938,    0.06011665, , 
     1.401388,    0.06527655, , 
     1.368965,    0.07368796, , 
     1.329824,     0.0838952, , 
     1.282945,    0.09633722, , 
     1.230083,     0.1116485, , 
     1.175391,     0.1297781, , 

