CD,T1-38.9 m/s-LLT, , 
    0.0847865,    -0.9489755, , 
   0.08203539,    -0.9303978, , 
   0.07925005,     -0.912852, , 
    0.0765129,    -0.8952118, , 
   0.07382499,    -0.8775494, , 
   0.07118607,    -0.8598297, , 
   0.06859705,     -0.842052, , 
   0.06605837,    -0.8242412, , 
   0.06357026,    -0.8063816, , 
   0.06113345,    -0.7884861, , 
   0.05874834,    -0.7705454, , 
   0.05641512,     -0.752568, , 
   0.05413392,    -0.7345687, , 
   0.05190584,    -0.7165156, , 
   0.04973052,    -0.6984384, , 
   0.04760819,    -0.6803418, , 
   0.04554023,    -0.6621949, , 
    0.0435258,    -0.6440287, , 
   0.04156496,    -0.6258457, , 
   0.03965942,    -0.6076195, , 
   0.03780817,    -0.5893757, , 
   0.03601118,     -0.571116, , 
    0.0342698,    -0.5528221, , 
   0.03258358,    -0.5345109, , 
   0.03095243,    -0.5161824, , 
   0.02937728,    -0.4978279, , 
   0.02785762,    -0.4794592, , 
   0.02639401,    -0.4610703, , 
   0.02498645,     -0.442664, , 
   0.02363463,    -0.4242459, , 
   0.02233991,    -0.4058053, , 
   0.02110102,    -0.3873546, , 
   0.01991833,     -0.368893, , 
   0.01879355,    -0.3504087, , 
   0.01772446,    -0.3319189, , 
   0.01671207,    -0.3134181, , 
    0.0157578,    -0.2948992, , 
   0.01485933,    -0.2763765, , 
   0.01401839,    -0.2578419, , 
   0.01323492,    -0.2392956, , 
   0.01250771,    -0.2207456, , 
   0.01183885,    -0.2021835, , 
   0.01122682,    -0.1836147, , 
   0.01067129,    -0.1650427, , 
   0.01017482,    -0.1464596, , 
  0.009734963,    -0.1278725, , 
  0.009351583,    -0.1092836, , 
  0.009029278,   -0.09068328, , 
  0.008763224,    -0.0720811, , 
  0.008552727,   -0.05347882, , 
  0.008400418,   -0.03487303, , 
  0.008303831,   -0.01626679, , 
  0.008262609,   0.002339296, , 
  0.008284464,    0.02095084, , 
  0.008361876,    0.03956242, , 
  0.008495039,    0.05817392, , 
  0.008688677,    0.07678406, , 
  0.008938336,    0.09539407, , 
  0.009244129,     0.1140034, , 
  0.009609389,      0.132608, , 
   0.01003096,     0.1512117, , 
   0.01050899,     0.1698133, , 
   0.01104561,      0.188408, , 
   0.01163867,     0.2070005, , 
   0.01228841,      0.225589, , 
   0.01299598,      0.244169, , 
    0.0137598,     0.2627463, , 
   0.01458067,     0.2813159, , 
   0.01545867,     0.2998766, , 
   0.01639248,     0.3184344, , 
   0.01738373,     0.3369792, , 
   0.01843134,     0.3555154, , 
   0.01953466,      0.374047, , 
   0.02069499,     0.3925626, , 
   0.02191131,     0.4110693, , 
   0.02318333,     0.4295682, , 
   0.02451167,     0.4480503, , 
   0.02589561,     0.4665228, , 
   0.02733518,     0.4849821, , 
   0.02883028,      0.503426, , 
    0.0303807,      0.521857, , 
   0.03198634,     0.5402707, , 
   0.03364685,     0.5586698, , 
   0.03536225,     0.5770546, , 
   0.03713245,     0.5954153, , 
   0.03895692,     0.6137618, , 
   0.04083555,     0.6320945, , 
   0.04276844,     0.6503956, , 
     0.044755,     0.6686826, , 
   0.04679507,     0.6869553, , 
   0.04888856,       0.70519, , 
   0.05103515,     0.7234092, , 
   0.05323457,     0.7416102, , 
   0.05548635,     0.7597726, , 
   0.05779047,     0.7779164, , 
   0.06014649,     0.7960348, , 
   0.06255404,     0.8141191, , 
   0.06501299,     0.8321769, , 
   0.06752264,     0.8501989, , 
   0.07008316,     0.8681971, , 
   0.07269357,     0.8861554, , 
   0.07535334,     0.9040727, , 
   0.07806345,     0.9219734, , 
   0.08082157,     0.9398219, , 
    0.0836275,     0.9576192, , 
    0.0864833,     0.9754071, , 
   0.08938464,     0.9931274, , 
   0.09233228,      1.010795, , 
   0.09532915,      1.028458, , 
   0.09836826,       1.04603, , 
    0.1014524,      1.063552, , 
    0.1045844,      1.081066, , 
    0.1077551,      1.098469, , 
    0.1109702,      1.115831, , 
    0.1142302,      1.133167, , 
     0.117525,      1.150377, , 
    0.1208641,      1.167562, , 
     0.124243,      1.184687, , 
    0.1276534,      1.201679, , 
    0.1311116,      1.218615, , 
    0.1345943,      1.235525, , 
    0.1381099,      1.252269, , 
    0.1416705,      1.268945, , 
    0.1452466,      1.285549, , 
    0.1488557,      1.302013, , 
    0.1525017,      1.318364, , 
     0.156155,      1.334611, , 
    0.1598415,      1.350676, , 
    0.1635412,      1.366691, , 
    0.1672555,       1.38248, , 
    0.1709843,      1.398051, , 
    0.1747115,      1.413509, , 
    0.1784391,       1.42854, , 
     0.182066,      1.443067, , 
    0.1856366,      1.457144, , 
    0.1892403,      1.471105, , 
    0.1928444,      1.484865, , 
    0.1963816,       1.49811, , 
    0.1999176,      1.511142, , 
    0.2034314,      1.523828, , 
    0.2068213,      1.535859, , 
    0.2102212,      1.547628, , 
    0.2136358,       1.55922, , 
    0.2170444,       1.57047, , 
    0.2204427,      1.581354, , 
    0.2237053,      1.591526, , 
    0.2269311,      1.601178, , 
    0.2301124,      1.610295, , 
    0.2333291,      1.619121, , 

