CD_induced,T1-38.9 m/s-LLT, , 
   0.07191217,    -0.9489755, , 
   0.06937203,    -0.9303978, , 
   0.06677837,     -0.912852, , 
   0.06422339,    -0.8952118, , 
   0.06171487,    -0.8775494, , 
   0.05924892,    -0.8598297, , 
   0.05682553,     -0.842052, , 
   0.05444821,    -0.8242412, , 
   0.05211577,    -0.8063816, , 
    0.0498298,    -0.7884861, , 
   0.04758954,    -0.7705454, , 
   0.04539663,     -0.752568, , 
   0.04325273,    -0.7345687, , 
   0.04115477,    -0.7165156, , 
   0.03910628,    -0.6984384, , 
   0.03710786,    -0.6803418, , 
    0.0351568,    -0.6621949, , 
   0.03325638,    -0.6440287, , 
   0.03140699,    -0.6258457, , 
   0.02960658,    -0.6076195, , 
   0.02785754,    -0.5893757, , 
   0.02616022,     -0.571116, , 
   0.02451351,    -0.5528221, , 
   0.02291871,    -0.5345109, , 
    0.0213761,    -0.5161824, , 
   0.01988533,    -0.4978279, , 
   0.01844725,    -0.4794592, , 
   0.01706168,    -0.4610703, , 
   0.01572903,     -0.442664, , 
    0.0144497,    -0.4242459, , 
   0.01322325,    -0.4058053, , 
   0.01205054,    -0.3873546, , 
   0.01093159,     -0.368893, , 
  0.009865976,    -0.3504087, , 
  0.008854668,    -0.3319189, , 
  0.007897459,    -0.3134181, , 
  0.006994202,    -0.2948992, , 
  0.006145578,    -0.2763765, , 
  0.005351326,    -0.2578419, , 
  0.004611603,    -0.2392956, , 
  0.003926717,    -0.2207456, , 
  0.003296472,    -0.2021835, , 
  0.002721144,    -0.1836147, , 
  0.002200846,    -0.1650427, , 
  0.001735448,    -0.1464596, , 
  0.001325192,    -0.1278725, , 
  0.000970134,    -0.1092836, , 
 0.0006701699,   -0.09068328, , 
 0.0004255021,    -0.0720811, , 
 0.0002361603,   -0.05347882, , 
   0.00010213,   -0.03487303, , 
 2.344839e-05,   -0.01626679, , 
 1.193427e-07,   0.002339296, , 
 3.215964e-05,    0.02095084, , 
 0.0001195844,    0.03956242, , 
 0.0002623925,    0.05817392, , 
 0.0004605691,    0.07678406, , 
 0.0007141196,    0.09539407, , 
   0.00102303,     0.1140034, , 
  0.001387219,      0.132608, , 
  0.001806728,     0.1512117, , 
  0.002281513,     0.1698133, , 
  0.002811431,      0.188408, , 
  0.003396559,     0.2070005, , 
  0.004036806,      0.225589, , 
  0.004731998,      0.244169, , 
  0.005482263,     0.2627463, , 
  0.006287363,     0.2813159, , 
  0.007147206,     0.2998766, , 
  0.008061965,     0.3184344, , 
  0.009031113,     0.3369792, , 
   0.01005479,     0.3555154, , 
    0.0111331,      0.374047, , 
   0.01226538,     0.3925626, , 
   0.01345189,     0.4110693, , 
   0.01469261,     0.4295682, , 
   0.01598693,     0.4480503, , 
   0.01733515,     0.4665228, , 
    0.0187369,     0.4849821, , 
   0.02019197,      0.503426, , 
   0.02170039,      0.521857, , 
   0.02326162,     0.5402707, , 
   0.02487585,     0.5586698, , 
   0.02654289,     0.5770546, , 
   0.02826173,     0.5954153, , 
   0.03003315,     0.6137618, , 
     0.031857,     0.6320945, , 
   0.03373142,     0.6503956, , 
   0.03565791,     0.6686826, , 
    0.0376363,     0.6869553, , 
   0.03966402,       0.70519, , 
   0.04174308,     0.7234092, , 
   0.04387309,     0.7416102, , 
   0.04605162,     0.7597726, , 
   0.04828054,     0.7779164, , 
   0.05055896,     0.7960348, , 
   0.05288566,     0.8141191, , 
   0.05526103,     0.8321769, , 
   0.05768401,     0.8501989, , 
   0.06015569,     0.8681971, , 
   0.06267347,     0.8861554, , 
   0.06523734,     0.9040727, , 
   0.06785009,     0.9219734, , 
   0.07050619,     0.9398219, , 
   0.07320605,     0.9576192, , 
   0.07595487,     0.9754071, , 
   0.07874374,     0.9931274, , 
   0.08157497,      1.010795, , 
   0.08445483,      1.028458, , 
   0.08737023,       1.04603, , 
   0.09032698,      1.063552, , 
   0.09333062,      1.081066, , 
   0.09636539,      1.098469, , 
   0.09944112,      1.115831, , 
    0.1025599,      1.133167, , 
    0.1057055,      1.150377, , 
    0.1088933,      1.167562, , 
    0.1121168,      1.184687, , 
    0.1153638,      1.201679, , 
    0.1186575,      1.218615, , 
    0.1219687,      1.235525, , 
    0.1253052,      1.252269, , 
    0.1286853,      1.268945, , 
    0.1320718,      1.285549, , 
    0.1354856,      1.302013, , 
     0.138933,      1.318364, , 
    0.1423777,      1.334611, , 
    0.1458501,      1.350676, , 
    0.1493295,      1.366691, , 
    0.1528144,       1.38248, , 
    0.1563054,      1.398051, , 
     0.159786,      1.413509, , 
    0.1632606,       1.42854, , 
    0.1666211,      1.443067, , 
    0.1699134,      1.457144, , 
    0.1732213,      1.471105, , 
    0.1765145,      1.484865, , 
    0.1797125,       1.49811, , 
    0.1829004,      1.511142, , 
    0.1860429,      1.523828, , 
    0.1890312,      1.535859, , 
    0.1920008,      1.547628, , 
    0.1949403,       1.55922, , 
     0.197836,       1.57047, , 
    0.2006804,      1.581354, , 
    0.2033316,      1.591526, , 
    0.2059047,      1.601178, , 
    0.2083489,      1.610295, , 
    0.2107518,      1.619121, , 

