Alpha,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
        -18.5,    -0.7114612, , 
          -18,    -0.6972957, , 
        -17.5,    -0.6787276, , 
          -17,    -0.6625351, , 
        -16.5,    -0.6527418, , 
          -16,    -0.6323028, , 
        -15.5,    -0.6169373, , 
          -15,    -0.6130805, , 
        -14.5,    -0.5897064, , 
          -14,     -0.585186, , 
        -13.5,     -0.566155, , 
          -13,    -0.5547599, , 
        -12.5,      -0.54522, , 
          -12,     -0.536866, , 
        -11.5,    -0.5296233, , 
          -11,    -0.5235937, , 
        -10.5,     -0.518834, , 
          -10,    -0.5154772, , 
         -9.5,    -0.5138295, , 
           -9,     -0.514488, , 
         -8.5,    -0.5187041, , 
           -8,    -0.5260683, , 
         -7.5,    -0.5250083, , 
           -7,     -0.508741, , 
         -6.5,    -0.4759743, , 
           -6,    -0.4308576, , 
         -5.5,    -0.3796484, , 
           -5,    -0.3291961, , 
         -4.5,    -0.2780313, , 
           -4,    -0.2247896, , 
         -3.5,     -0.170895, , 
           -3,    -0.1167666, , 
         -2.5,   -0.06251687, , 
           -2,  -0.008199057, , 
         -1.5,    0.04614565, , 
           -1,     0.1004753, , 
         -0.5,     0.1547669, , 
            0,     0.2089876, , 
          0.5,     0.2631075, , 
            1,     0.3170938, , 
          1.5,     0.3709181, , 
            2,     0.4245485, , 
          2.5,      0.477943, , 
            3,     0.5310679, , 
          3.5,     0.5838706, , 
            4,     0.6363062, , 
          4.5,     0.6883282, , 
            5,     0.7397801, , 
          5.5,     0.7904998, , 
            6,     0.8403851, , 
          6.5,     0.8890291, , 
            7,     0.9346375, , 
            8,      1.008291, , 
          8.5,      1.059026, , 
            9,      1.102537, , 
          9.5,      1.137834, , 
           10,      1.160025, , 
         10.5,      1.164599, , 
         11.5,      1.061739, , 
           12,     0.9866946, , 
         12.5,     0.9091317, , 
           13,     0.8797403, , 
         13.5,     0.8679191, , 
           14,     0.8642806, , 
         14.5,     0.8655934, , 
           15,     0.8703089, , 
         15.5,     0.8772768, , 
           16,      0.886328, , 
         16.5,     0.8970472, , 
           17,     0.9090801, , 
         17.5,     0.9223702, , 
           18,     0.9468573, , 
         18.5,     0.9503306, , 
           19,      0.968959, , 
         19.5,     0.9801265, , 
           20,     0.9977198, , 

