Alpha,T1_Re0.145_M0.00_N9.0, , 
          -20,    -0.6343523, , 
        -19.5,    -0.6156872, , 
          -19,     -0.600079, , 
        -17.5,    -0.3392758, , 
          -17,    -0.3366268, , 
        -16.5,    -0.3236144, , 
          -16,    -0.3152899, , 
        -15.5,    -0.3171157, , 
          -15,    -0.3015495, , 
        -14.5,    -0.3097922, , 
          -14,    -0.2939988, , 
        -13.5,    -0.3083753, , 
          -13,    -0.2902807, , 
        -12.5,    -0.3013039, , 
          -12,    -0.2855306, , 
        -11.5,    -0.3031001, , 
          -11,    -0.2823003, , 
        -10.5,     -0.293566, , 
          -10,    -0.2963347, , 
         -9.5,    -0.2994768, , 
           -9,     -0.337045, , 
         -8.5,    -0.3291068, , 
           -8,    -0.3712412, , 
         -7.5,    -0.4657147, , 
         -6.5,    -0.5668956, , 
           -6,    -0.5214697, , 
         -5.5,    -0.4406925, , 
           -5,     -0.358043, , 
         -4.5,    -0.2797654, , 
           -4,    -0.1995883, , 
         -3.5,     -0.121283, , 
           -3,   -0.04737234, , 
         -2.5,    0.03068155, , 
         -1.5,     0.1555289, , 
           -1,     0.2505196, , 
         -0.5,     0.3505023, , 
            0,     0.4006129, , 
          0.5,     0.4507793, , 
            1,     0.5008903, , 
          1.5,     0.5508935, , 
            2,     0.6011893, , 
          2.5,     0.6514177, , 
            3,     0.7018827, , 
          3.5,     0.7529017, , 
            4,     0.8049629, , 
          4.5,     0.8546579, , 
            5,     0.9044808, , 
          5.5,     0.9535727, , 
            6,       1.00112, , 
          6.5,      1.047163, , 
            7,       1.09093, , 
          7.5,      1.131629, , 
            8,      1.167926, , 
          8.5,      1.196979, , 
            9,      1.214638, , 
          9.5,      1.220245, , 
           10,      1.227639, , 
         10.5,      1.237289, , 
           11,      1.252201, , 
         11.5,      1.271513, , 
           12,      1.294492, , 
         12.5,      1.322744, , 
           13,      1.351981, , 
         13.5,      1.369998, , 
           14,      1.388263, , 
         14.5,      1.385938, , 
           15,      1.401388, , 
         15.5,      1.368965, , 
           16,      1.329824, , 
         16.5,      1.282945, , 
           17,      1.230083, , 
         17.5,      1.175391, , 

