Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.057857, , 
       -14.75,     -1.038324, , 
        -14.5,     -1.019284, , 
       -14.25,     -1.000093, , 
          -14,    -0.9808309, , 
       -13.75,    -0.9614648, , 
        -13.5,    -0.9419894, , 
       -13.25,    -0.9224381, , 
          -13,    -0.9028061, , 
       -12.75,    -0.8830951, , 
        -12.5,    -0.8633021, , 
       -12.25,    -0.8434551, , 
          -12,    -0.8235227, , 
       -11.75,    -0.8035359, , 
        -11.5,    -0.7835513, , 
       -11.25,    -0.7633947, , 
          -11,    -0.7432876, , 
       -10.75,      -0.72304, , 
        -10.5,    -0.7028242, , 
       -10.25,     -0.682541, , 
          -10,    -0.6621415, , 
        -9.75,    -0.6418003, , 
         -9.5,    -0.6213362, , 
        -9.25,    -0.6009176, , 
           -9,    -0.5804266, , 
        -8.75,    -0.5598894, , 
         -8.5,    -0.5393301, , 
        -8.25,    -0.5187349, , 
           -8,    -0.4981105, , 
        -7.75,    -0.4774647, , 
         -7.5,    -0.4567827, , 
        -7.25,    -0.4360838, , 
           -7,    -0.4153565, , 
        -6.75,    -0.3946074, , 
         -6.5,    -0.3738441, , 
        -6.25,    -0.3530501, , 
           -6,    -0.3322462, , 
        -5.75,    -0.3114223, , 
         -5.5,    -0.2905793, , 
        -5.25,    -0.2697273, , 
           -5,    -0.2488534, , 
        -4.75,     -0.227973, , 
         -4.5,    -0.2070781, , 
        -4.25,    -0.1861694, , 
           -4,    -0.1652575, , 
        -3.75,    -0.1443287, , 
         -3.5,    -0.1233962, , 
        -3.25,    -0.1024575, , 
           -3,   -0.08150673, , 
        -2.75,   -0.06055614, , 
         -2.5,   -0.03959977, , 
        -2.25,   -0.01864023, , 
           -2,   0.002319185, , 
        -1.75,    0.02328406, , 
         -1.5,    0.04424884, , 
        -1.25,    0.06521298, , 
           -1,    0.08617577, , 
        -0.75,     0.1071386, , 
         -0.5,     0.1280958, , 
        -0.25,     0.1490503, , 
            0,     0.1700023, , 
         0.25,     0.1909445, , 
          0.5,     0.2118844, , 
         0.75,     0.2328149, , 
            1,     0.2537359, , 
         1.25,     0.2746518, , 
          1.5,     0.2955524, , 
         1.75,     0.3164466, , 
            2,     0.3373262, , 
         2.25,     0.3581912, , 
          2.5,     0.3790483, , 
         2.75,      0.399882, , 
            3,     0.4207053, , 
         3.25,     0.4415116, , 
          3.5,     0.4622961, , 
         3.75,     0.4830676, , 
            4,     0.5038113, , 
         4.25,     0.5245383, , 
          4.5,     0.5452419, , 
         4.75,     0.5659185, , 
            5,     0.5865779, , 
         5.25,     0.6072037, , 
          5.5,     0.6278039, , 
         5.75,     0.6483737, , 
            6,     0.6689143, , 
         6.25,     0.6894321, , 
          6.5,     0.7098977, , 
         6.75,      0.730342, , 
            7,     0.7507487, , 
         7.25,     0.7711574, , 
          7.5,     0.7914499, , 
         7.75,     0.8117683, , 
            8,     0.8319675, , 
         8.25,     0.8522136, , 
          8.5,     0.8723135, , 
         8.75,     0.8924108, , 
            9,     0.9125036, , 
         9.25,     0.9324963, , 
          9.5,     0.9524308, , 
         9.75,     0.9723106, , 
           10,      0.992076, , 
        10.25,      1.011857, , 
         10.5,      1.031558, , 
        10.75,      1.051149, , 
           11,      1.070687, , 
        11.25,      1.090145, , 
         11.5,      1.109488, , 
        11.75,      1.128804, , 
           12,      1.147966, , 
        12.25,      1.167053, , 
         12.5,      1.186064, , 
        12.75,        1.2049, , 
           13,      1.223708, , 
        13.25,      1.242301, , 
         13.5,      1.260801, , 
        13.75,      1.279189, , 
           14,      1.297342, , 
        14.25,      1.315447, , 
         14.5,      1.333293, , 
        14.75,      1.350984, , 
           15,      1.368469, , 
        15.25,      1.385614, , 
         15.5,      1.402578, , 
        15.75,      1.419101, , 
           16,      1.435213, , 
        16.25,      1.450519, , 
         16.5,      1.465132, , 
        16.75,      1.479747, , 
           17,      1.493833, , 
        17.25,       1.50757, , 
         17.5,       1.52093, , 
        17.75,      1.533993, , 
           18,      1.546411, , 
        18.25,      1.558441, , 
         18.5,      1.569893, , 
        18.75,      1.580586, , 
           19,      1.591033, , 
        19.25,       1.60083, , 
         19.5,      1.610382, , 
        19.75,      1.619079, , 
           20,      1.627274, , 
        20.25,      1.634699, , 
         20.5,      1.641286, , 
        20.75,      1.646905, , 

