Alpha,T1_Re0.145_M0.00_N9.0, , Alpha,T1_Re0.145_M0.00_N9.0, , Alpha,T1_Re0.145_M0.00_N9.0, , Alpha,T1_Re0.145_M0.00_N9.0, , 
          -15,    -0.6623918, ,           -20,    -0.3772369, ,           -20,    -0.3262201, ,         -19.5,    -0.4751543, , 
        -14.5,    -0.6481135, ,         -19.5,     -0.368286, ,         -19.5,    -0.3073298, ,           -19,     -0.461534, , 
          -14,    -0.6376191, ,           -19,    -0.3610006, ,           -19,    -0.3181065, ,         -18.5,    -0.4451135, , 
        -13.5,    -0.6219652, ,         -18.5,    -0.3495943, ,         -18.5,    -0.2901388, ,           -18,    -0.4323866, , 
          -13,    -0.6092423, ,           -18,    -0.3491316, ,           -18,    -0.2979977, ,         -15.5,    -0.9096265, , 
        -12.5,    -0.5998449, ,         -17.5,    -0.3327848, ,         -17.5,    -0.2737915, ,           -15,    -0.9933401, , 
          -12,     -0.587773, ,           -17,    -0.3365335, ,           -17,    -0.2850963, ,         -14.5,     -1.059967, , 
        -11.5,    -0.5773932, ,         -16.5,     -0.317637, ,         -16.5,    -0.2589192, ,           -14,      -1.03698, , 
          -11,     -0.572608, ,           -16,    -0.3199679, ,           -16,    -0.2617935, ,         -13.5,     -1.063311, , 
        -10.5,     -0.558544, ,         -15.5,    -0.3053153, ,         -15.5,    -0.2498543, ,           -13,     -1.114263, , 
          -10,     -0.555305, ,           -15,    -0.3078658, ,           -15,     -0.249317, ,         -12.5,     -1.113536, , 
         -9.5,    -0.5432163, ,         -14.5,    -0.3182972, ,         -14.5,    -0.2679844, ,           -12,      -1.12107, , 
           -9,    -0.5358837, ,           -14,    -0.2955147, ,           -14,    -0.2424895, ,         -11.5,     -1.122484, , 
         -8.5,    -0.5324372, ,         -13.5,    -0.3238767, ,         -13.5,    -0.2588166, ,           -11,     -1.111233, , 
           -8,    -0.5216105, ,           -13,    -0.2980411, ,           -13,    -0.2993179, ,         -10.5,     -1.097726, , 
           -5,    -0.3792972, ,         -12.5,    -0.3008174, ,         -12.5,    -0.2544154, ,           -10,     -1.029137, , 
         -3.5,    -0.2242397, ,           -12,    -0.3220889, ,           -12,    -0.3163995, ,          -9.5,    -0.9559583, , 
           -3,    -0.1724121, ,         -11.5,    -0.3048623, ,         -11.5,    -0.9765384, ,            -9,    -0.8884468, , 
         -2.5,    -0.1210236, ,           -11,    -0.3194655, ,           -11,    -0.9818268, ,          -8.5,    -0.8163141, , 
           -2,   -0.06639903, ,         -10.5,    -0.3478889, ,         -10.5,     -0.977772, ,            -8,     -0.750162, , 
         -1.5,   -0.01650185, ,           -10,    -0.8636493, ,           -10,    -0.9645622, ,          -7.5,    -0.6805095, , 
           -1,     0.0327743, ,          -9.5,    -0.8582126, ,          -9.5,    -0.9459394, ,            -7,    -0.6083647, , 
