CL,T1-38.9 m/s-LLT, , 
    -0.971597,    0.06626315, , 
   -0.9696253,    0.06611816, , 
   -0.9679393,    0.06594539, , 
   -0.9662699,    0.06577119, , 
   -0.9646942,    0.06558818, , 
    -0.963127,     0.0654043, , 
   -0.9615656,       0.06522, , 
   -0.9600083,    0.06503555, , 
   -0.9584533,    0.06485113, , 
   -0.9568998,    0.06466684, , 
   -0.9553456,    0.06448274, , 
   -0.9537909,    0.06429883, , 
   -0.9522364,    0.06411515, , 
   -0.9506816,    0.06393171, , 
   -0.9491265,    0.06374852, , 
   -0.9475716,    0.06356558, , 
   -0.9460167,    0.06338291, , 
   -0.9444618,     0.0632005, , 
   -0.9429029,    0.06301839, , 
    -0.941343,    0.06283652, , 
   -0.9397834,    0.06265491, , 
    -0.938224,    0.06247355, , 
   -0.9366641,    0.06229247, , 
   -0.9351032,    0.06211169, , 
   -0.9335424,    0.06193116, , 
   -0.9319812,    0.06175092, , 
   -0.9304645,    0.06156666, , 
   -0.9288809,    0.06138885, , 
   -0.9273059,    0.06121052, , 
   -0.9257359,      0.061032, , 
   -0.9241688,    0.06085349, , 
   -0.9226032,     0.0606751, , 
   -0.9210371,    0.06049691, , 
   -0.9195186,    0.06031464, , 
   -0.9179326,    0.06013872, , 
   -0.9163535,     0.0599623, , 
   -0.9147787,    0.05978569, , 
   -0.9132069,    0.05960908, , 
   -0.9116353,    0.05943261, , 
   -0.9100623,    0.05925636, , 
   -0.9084901,    0.05908031, , 
   -0.9069183,     0.0589045, , 
   -0.9053468,    0.05872894, , 
   -0.9037748,    0.05855365, , 
   -0.9022028,    0.05837862, , 
   -0.9006308,    0.05820386, , 
   -0.8990589,    0.05802937, , 
   -0.8974871,    0.05785515, , 
   -0.8959152,    0.05768121, , 
   -0.8943433,    0.05750754, , 
   -0.8927715,    0.05733414, , 
   -0.8911978,    0.05716105, , 
   -0.8896214,    0.05698826, , 
   -0.8880453,    0.05681574, , 
   -0.8864693,    0.05664347, , 
   -0.8848935,    0.05647148, , 
   -0.8833169,    0.05629978, , 
   -0.8817397,    0.05612838, , 
   -0.8802107,    0.05595311, , 
   -0.8786118,    0.05578405, , 
   -0.8770199,    0.05561456, , 
   -0.8754331,    0.05544491, , 
   -0.8738494,    0.05527527, , 
   -0.8723153,    0.05510168, , 
   -0.8707135,    0.05493412, , 
   -0.8691198,    0.05476605, , 
   -0.8675315,     0.0545978, , 
   -0.8659463,    0.05442956, , 
   -0.8644106,     0.0542574, , 
   -0.8628055,    0.05409125, , 
   -0.8612097,    0.05392458, , 
   -0.8596186,    0.05375775, , 
    -0.858029,    0.05359097, , 
   -0.8564399,    0.05342436, , 
   -0.8549003,    0.05325391, , 
   -0.8532921,    0.05308941, , 
   -0.8516932,    0.05292443, , 
   -0.8500996,    0.05275929, , 
    -0.848509,    0.05259418, , 
   -0.8469686,    0.05242523, , 
   -0.8453601,    0.05226215, , 
   -0.8437609,    0.05209858, , 
   -0.8421672,    0.05193485, , 
   -0.8405765,    0.05177114, , 
   -0.8390359,    0.05160364, , 
   -0.8374238,    0.05144203, , 
   -0.8358205,    0.05127995, , 
   -0.8342227,    0.05111769, , 
   -0.8326282,    0.05095546, , 
   -0.8310842,    0.05078946, , 
   -0.8294708,    0.05062927, , 
   -0.8278666,    0.05046861, , 
   -0.8262679,    0.05030779, , 
   -0.8247196,     0.0501432, , 
   -0.8231027,    0.04998431, , 
   -0.8214958,     0.0498249, , 
   -0.8198946,    0.04966532, , 
   -0.8183451,    0.04950193, , 
    -0.816727,    0.04934416, , 
    -0.815119,    0.04918588, , 
   -0.8135168,    0.04902744, , 
   -0.8119667,    0.04886521, , 
   -0.8103476,    0.04870857, , 
   -0.8087373,    0.04855147, , 
   -0.8071321,     0.0483942, , 
   -0.8055792,    0.04823318, , 
   -0.8039566,    0.04807775, , 
   -0.8023437,    0.04792184, , 
   -0.8007366,    0.04776577, , 
    -0.799182,    0.04760597, , 
   -0.7975592,    0.04745166, , 
   -0.7959465,    0.04729687, , 
   -0.7943393,    0.04714193, , 
   -0.7927843,    0.04698329, , 
   -0.7911612,    0.04683012, , 
   -0.7895481,    0.04667646, , 
   -0.7879407,    0.04652265, , 
   -0.7863858,    0.04636518, , 
