Cl,T1_Re0.145_M0.00_N9.0, , 
   -0.7553769,     0.2441674, , 
   -0.4728824,     0.1911914, , 
   -0.4587985,     0.1860054, , 
   -0.4610801,     0.1815493, , 
    -0.443476,     0.1760052, , 
   -0.4541137,     0.1726114, , 
   -0.4302162,     0.1660212, , 
   -0.4402921,     0.1623485, , 
   -0.4178379,      0.156361, , 
    -0.422753,     0.1515894, , 
   -0.4109437,     0.1467906, , 
   -0.4152282,      0.141892, , 
    -0.422333,     0.1380466, , 
   -0.4136119,     0.1328514, , 
   -0.4236988,     0.1265434, , 
   -0.4501375,     0.1187042, , 
   -0.5669036,     0.1221297, , 
   -0.6404211,    0.09413523, , 
   -0.8726768,    0.04974246, , 
   -0.8901947,    0.04200829, , 
   -0.8734795,    0.03677397, , 
   -0.8470336,    0.03278357, , 
   -0.8157847,    0.02956089, , 
   -0.7806148,     0.0265958, , 
   -0.7418946,    0.02436342, , 
   -0.7020457,    0.02239176, , 
   -0.6624237,    0.02077988, , 
   -0.6226833,    0.01923777, , 
   -0.5829952,    0.01787898, , 
   -0.5427018,    0.01670808, , 
    -0.501196,    0.01566785, , 
   -0.4581709,    0.01482535, , 
    -0.414635,    0.01417736, , 
   -0.3710934,    0.01369071, , 
   -0.2901858,    0.01328434, , 
   -0.2088066,    0.01304552, , 
   -0.1315806,    0.01300556, , 
  -0.04609546,     0.0131677, , 
   0.06505503,    0.01323478, , 
    0.1836786,     0.0129922, , 
    0.2953223,    0.01241753, , 
    0.3532373,     0.0119445, , 
    0.3963258,    0.01172245, , 
    0.4408584,    0.01169147, , 
    0.4855938,    0.01182354, , 
    0.5304766,    0.01206304, , 
    0.5751477,    0.01238718, , 
    0.6193715,     0.0127853, , 
    0.6628573,    0.01324397, , 
    0.7053371,    0.01377662, , 
    0.7464803,    0.01439643, , 
    0.7859781,    0.01518744, , 
    0.8232788,    0.01631702, , 
    0.8581009,    0.01790588, , 
    0.8928967,    0.01973784, , 
    0.9283878,    0.02168501, , 
    0.9654896,    0.02377326, , 
     1.004737,    0.02589563, , 
     1.045909,    0.02838364, , 
     1.086381,    0.03104427, , 
     1.126067,    0.03407591, , 
     1.162593,    0.03733882, , 
      1.18167,    0.04140801, , 
     1.215012,    0.04559277, , 
     1.199986,    0.05123134, , 
     1.166679,    0.05760491, , 
     1.122931,    0.06601402, , 
     1.070138,    0.07751929, , 
     1.014525,    0.09243525, , 

