Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.036205, , 
       -14.75,     -1.016928, , 
        -14.5,    -0.9981622, , 
       -14.25,     -0.979342, , 
          -14,    -0.9604259, , 
       -13.75,    -0.9413755, , 
        -13.5,    -0.9222604, , 
       -13.25,    -0.9031034, , 
          -13,    -0.8838138, , 
       -12.75,    -0.8644994, , 
        -12.5,    -0.8450968, , 
       -12.25,    -0.8256299, , 
          -12,    -0.8060904, , 
       -11.75,    -0.7864658, , 
        -11.5,    -0.7668477, , 
       -11.25,    -0.7471575, , 
          -11,    -0.7274146, , 
       -10.75,    -0.7076095, , 
        -10.5,    -0.6877769, , 
       -10.25,    -0.6678867, , 
          -10,    -0.6479652, , 
        -9.75,    -0.6280071, , 
         -9.5,    -0.6079981, , 
        -9.25,     -0.587971, , 
           -9,    -0.5678959, , 
        -8.75,    -0.5477961, , 
         -8.5,    -0.5276748, , 
        -8.25,    -0.5075043, , 
           -8,    -0.4873236, , 
        -7.75,    -0.4671103, , 
         -7.5,    -0.4468689, , 
        -7.25,    -0.4266158, , 
           -7,    -0.4063265, , 
        -6.75,    -0.3860256, , 
         -6.5,    -0.3657054, , 
        -6.25,    -0.3453588, , 
           -6,    -0.3250058, , 
        -5.75,    -0.3046254, , 
         -5.5,     -0.284235, , 
        -5.25,    -0.2638358, , 
           -5,    -0.2434104, , 
        -4.75,    -0.2229836, , 
         -4.5,     -0.202541, , 
        -4.25,    -0.1820863, , 
           -4,    -0.1616297, , 
        -3.75,    -0.1411549, , 
         -3.5,    -0.1206777, , 
        -3.25,    -0.1001949, , 
           -3,   -0.07970105, , 
        -2.75,   -0.05920721, , 
         -2.5,   -0.03870708, , 
        -2.25,   -0.01820396, , 
           -2,   0.002299016, , 
        -1.75,    0.02280681, , 
         -1.5,    0.04331449, , 
        -1.25,    0.06382156, , 
           -1,    0.08432735, , 
        -0.75,     0.1048331, , 
         -0.5,     0.1253338, , 
        -0.25,     0.1458319, , 
            0,     0.1663285, , 
         0.25,      0.186814, , 
          0.5,     0.2072983, , 
         0.75,     0.2277745, , 
            1,       0.24824, , 
         1.25,     0.2687044, , 
          1.5,     0.2891504, , 
         1.75,     0.3095897, , 
            2,     0.3300217, , 
         2.25,     0.3504331, , 
          2.5,     0.3708396, , 
         2.75,     0.3912264, , 
            3,     0.4115983, , 
         3.25,     0.4319611, , 
          3.5,     0.4522959, , 
         3.75,     0.4726216, , 
            4,     0.4929263, , 
         4.25,     0.5132055, , 
          4.5,     0.5334765, , 
         4.75,     0.5537098, , 
            5,     0.5739254, , 
         5.25,      0.594122, , 
          5.5,     0.6142819, , 
         5.75,     0.6344276, , 
            6,      0.654535, , 
         6.25,     0.6746124, , 
          6.5,      0.694668, , 
         6.75,     0.7146785, , 
            7,     0.7346669, , 
         7.25,     0.7546116, , 
          7.5,     0.7745182, , 
         7.75,      0.794399, , 
            8,       0.81422, , 
         8.25,     0.8340111, , 
          8.5,     0.8537542, , 
         8.75,     0.8734489, , 
            9,     0.8931091, , 
         9.25,     0.9126961, , 
          9.5,     0.9322449, , 
         9.75,      0.951739, , 
           10,     0.9711598, , 
        10.25,     0.9905468, , 
         10.5,      1.009846, , 
        10.75,      1.029087, , 
           11,      1.048268, , 
        11.25,        1.0674, , 
         11.5,      1.086392, , 
        11.75,      1.105361, , 
           12,      1.124222, , 
        12.25,      1.142955, , 
         12.5,      1.161661, , 
        12.75,      1.180246, , 
           13,      1.198686, , 
        13.25,      1.217053, , 
         13.5,      1.235286, , 
        13.75,      1.253377, , 
           14,      1.271371, , 
        14.25,      1.289151, , 
         14.5,      1.306857, , 
        14.75,      1.324342, , 
           15,      1.341621, , 
        15.25,      1.358792, , 
         15.5,      1.375598, , 
        15.75,      1.392312, , 
           16,      1.408651, , 
        16.25,      1.424732, , 
         16.5,      1.440208, , 
        16.75,      1.454412, , 
           17,      1.468487, , 
        17.25,      1.482032, , 
         17.5,      1.495261, , 
        17.75,      1.508036, , 
           18,      1.520683, , 
        18.25,      1.532832, , 
         18.5,      1.544536, , 
        18.75,      1.555915, , 
           19,      1.566486, , 
        19.25,      1.576726, , 
         19.5,      1.586427, , 
        19.75,      1.595768, , 
           20,      1.604517, , 
        20.25,      1.612693, , 
         20.5,      1.620222, , 
        20.75,      1.627122, , 
           21,      1.633159, , 
        21.25,      1.638371, , 

