Alpha,T1_Re0.145_M0.00_N9.0, , 
          -20,    -0.3262201, , 
        -19.5,    -0.3073298, , 
          -19,    -0.3181065, , 
        -18.5,    -0.2901388, , 
          -18,    -0.2979977, , 
        -17.5,    -0.2737915, , 
          -17,    -0.2850963, , 
        -16.5,    -0.2589192, , 
          -16,    -0.2617935, , 
        -15.5,    -0.2498543, , 
          -15,     -0.249317, , 
        -14.5,    -0.2679844, , 
          -14,    -0.2424895, , 
        -13.5,    -0.2588166, , 
          -13,    -0.2993179, , 
        -12.5,    -0.2544154, , 
          -12,    -0.3163995, , 
        -11.5,    -0.9765384, , 
          -11,    -0.9818268, , 
        -10.5,     -0.977772, , 
          -10,    -0.9645622, , 
         -9.5,    -0.9459394, , 
           -9,    -0.8977277, , 
         -8.5,     -0.826369, , 
           -8,    -0.7546266, , 
         -7.5,    -0.6865098, , 
           -7,    -0.6138583, , 
         -6.5,    -0.5491112, , 
           -6,    -0.4805885, , 
         -5.5,    -0.4093359, , 
           -5,    -0.3392461, , 
         -4.5,    -0.2736656, , 
           -4,    -0.2107769, , 
         -3.5,    -0.1593235, , 
           -3,    -0.1031268, , 
         -2.5,   -0.04920954, , 
           -2,   0.000720318, , 
         -1.5,     0.0518217, , 
           -1,     0.1019379, , 
         -0.5,     0.1513007, , 
            0,     0.2024932, , 
          0.5,     0.2513961, , 
            1,     0.3047752, , 
          1.5,     0.3607848, , 
            2,     0.4323945, , 
            3,     0.6806308, , 
          3.5,     0.7824608, , 
            4,     0.8242312, , 
          4.5,     0.8588296, , 
            5,      0.895046, , 
          5.5,     0.9309679, , 
            6,     0.9634587, , 
          6.5,     0.9993841, , 
            7,      1.030389, , 
          7.5,      1.063633, , 
            8,      1.092796, , 
          8.5,      1.124326, , 
            9,      1.150203, , 
          9.5,      1.176549, , 
           10,      1.198657, , 
         10.5,      1.214027, , 
           11,      1.231606, , 
         11.5,      1.248168, , 
           12,      1.260979, , 
         12.5,      1.275625, , 
           13,       1.28543, , 
         13.5,      1.298197, , 
           14,      1.307973, , 
         14.5,      1.315822, , 
           15,      1.324314, , 
         15.5,      1.332656, , 
           16,      1.342095, , 
         16.5,      1.355066, , 
           17,      1.357972, , 
         17.5,      1.353079, , 
           18,       1.36682, , 
         18.5,      1.348859, , 
           19,        1.3525, , 
         19.5,      1.316705, , 
           20,      1.334705, , 

