Alpha,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
        -16.5,    -0.8371447, , 
          -16,    -0.8680725, , 
        -15.5,    -0.8903433, , 
          -15,    -0.9070808, , 
        -14.5,    -0.9177003, , 
          -14,    -0.9216911, , 
        -13.5,     -0.919378, , 
          -13,    -0.9112927, , 
        -12.5,    -0.8980206, , 
          -12,    -0.8799079, , 
        -11.5,    -0.8574645, , 
          -11,    -0.8323151, , 
        -10.5,    -0.8064907, , 
          -10,    -0.7730427, , 
         -9.5,    -0.7359027, , 
           -9,    -0.6960364, , 
         -8.5,    -0.6540332, , 
           -8,    -0.6103182, , 
         -7.5,      -0.56521, , 
           -7,    -0.5189593, , 
         -6.5,    -0.4717601, , 
           -6,    -0.4237792, , 
         -5.5,    -0.3751442, , 
           -5,    -0.3259673, , 
         -4.5,    -0.2763534, , 
           -4,    -0.2263885, , 
         -3.5,    -0.1761475, , 
           -3,    -0.1257035, , 
         -2.5,   -0.07513373, , 
           -2,   -0.02450016, , 
         -1.5,    0.02613556, , 
           -1,     0.0767083, , 
         -0.5,     0.1271554, , 
            0,     0.1774092, , 
          0.5,     0.2274075, , 
            1,     0.2770827, , 
          1.5,     0.3263448, , 
            2,     0.3751055, , 
          2.5,      0.423277, , 
            3,     0.4707507, , 
          3.5,     0.5174025, , 
            4,     0.5630811, , 
          4.5,     0.6075796, , 
            5,      0.650552, , 
          5.5,      0.690228, , 
            6,     0.7286698, , 
          6.5,     0.7677435, , 
            7,     0.8064264, , 
          7.5,     0.8438677, , 
            8,     0.8798233, , 
          8.5,     0.9141637, , 
            9,     0.9468061, , 
          9.5,     0.9774872, , 
           10,      1.006301, , 
         10.5,      1.033087, , 
           11,      1.057762, , 
         11.5,      1.080161, , 
           12,      1.100312, , 
         12.5,       1.11799, , 
           13,      1.132931, , 
         13.5,      1.145333, , 
           14,      1.155161, , 
         14.5,      1.162329, , 
           15,      1.166999, , 
         15.5,       1.16901, , 
           16,       1.16866, , 
         16.5,       1.16585, , 
           17,       1.16127, , 
         17.5,      1.155129, , 
           18,        1.1481, , 
         18.5,      1.141128, , 
           19,      1.134621, , 
         19.5,      1.129418, , 
           20,      1.126223, , 

