Alpha,T1-38.9 m/s-LLT, , 
          -15,    0.05272295, , 
       -14.75,    0.05072561, , 
        -14.5,    0.04866445, , 
       -14.25,    0.04666139, , 
          -14,    0.04468334, , 
       -13.75,    0.04274797, , 
        -13.5,    0.04084575, , 
       -13.25,     0.0389816, , 
          -13,    0.03715549, , 
       -12.75,    0.03537103, , 
        -12.5,     0.0336205, , 
       -12.25,    0.03191258, , 
          -12,    0.03024553, , 
       -11.75,     0.0286204, , 
        -11.5,    0.02703959, , 
       -11.25,    0.02549596, , 
          -11,    0.02400018, , 
       -10.75,    0.02254455, , 
        -10.5,    0.02113302, , 
       -10.25,    0.01976485, , 
          -10,    0.01844102, , 
        -9.75,     0.0171621, , 
         -9.5,    0.01592764, , 
        -9.25,    0.01473869, , 
           -9,    0.01359506, , 
        -8.75,    0.01249706, , 
         -8.5,     0.0114453, , 
        -8.25,    0.01043958, , 
           -8,   0.009480273, , 
        -7.75,   0.008567759, , 
         -7.5,   0.007701869, , 
        -7.25,   0.006883072, , 
           -7,    0.00611144, , 
        -6.75,   0.005387082, , 
         -6.5,   0.004710281, , 
        -6.25,   0.004081011, , 
           -6,   0.003499483, , 
        -5.75,    0.00296586, , 
         -5.5,   0.002480134, , 
        -5.25,   0.002042476, , 
           -5,   0.001652966, , 
        -4.75,   0.001311657, , 
         -4.5,    0.00101866, , 
        -4.25,  0.0007740002, , 
           -4,   0.000577751, , 
        -3.75,  0.0004299653, , 
         -3.5,  0.0003306528, , 
        -3.25,  0.0002798627, , 
           -3,  0.0002776186, , 
        -2.75,   0.000323921, , 
         -2.5,   0.000418787, , 
        -2.25,  0.0005622131, , 
           -2,  0.0007541643, , 
        -1.75,   0.000994653, , 
         -1.5,   0.001283648, , 
        -1.25,   0.001621087, , 
           -1,    0.00200698, , 
        -0.75,   0.002441218, , 
         -0.5,   0.002923765, , 
        -0.25,   0.003454626, , 
            0,   0.004033582, , 
         0.25,   0.004660669, , 
          0.5,    0.00533582, , 
         0.75,    0.00605875, , 
            1,   0.006829559, , 
         1.25,   0.007648021, , 
          1.5,   0.008513996, , 
         1.75,   0.009427513, , 
            2,    0.01038815, , 
         2.25,    0.01139596, , 
          2.5,    0.01245085, , 
         2.75,     0.0135523, , 
            3,     0.0147005, , 
         3.25,    0.01589518, , 
          3.5,    0.01713587, , 
         3.75,     0.0184227, , 
            4,    0.01975509, , 
         4.25,    0.02113304, , 
          4.5,    0.02255648, , 
         4.75,    0.02402455, , 
            5,    0.02553748, , 
         5.25,    0.02709501, , 
          5.5,    0.02869616, , 
         5.75,    0.03034141, , 
            6,    0.03203001, , 
         6.25,    0.03376156, , 
          6.5,    0.03553613, , 
         6.75,    0.03735222, , 
            7,    0.03921064, , 
         7.25,    0.04111063, , 
          7.5,    0.04305098, , 
         7.75,    0.04503233, , 
            8,    0.04705352, , 
         8.25,    0.04911396, , 
          8.5,    0.05121341, , 
         8.75,    0.05335032, , 
            9,    0.05552999, , 
         9.25,    0.05773799, , 
          9.5,     0.0599897, , 
         9.75,    0.06226891, , 
           10,    0.06459164, , 
        10.25,    0.06694372, , 
         10.5,    0.06932357, , 
        10.75,    0.07174386, , 
           11,    0.07419217, , 
        11.25,    0.07666928, , 
         11.5,    0.07917417, , 
        11.75,    0.08171151, , 
           12,    0.08426589, , 
        12.25,    0.08685785, , 
         12.5,    0.08945862, , 
        12.75,    0.09208292, , 
           13,    0.09472931, , 
        13.25,    0.09738705, , 
         13.5,     0.1000622, , 
        13.75,     0.1027391, , 
           14,     0.1054197, , 
        14.25,      0.108124, , 
         14.5,     0.1108374, , 
        14.75,     0.1135275, , 
           15,     0.1162261, , 
        15.25,     0.1189135, , 
         15.5,     0.1216044, , 
        15.75,     0.1243017, , 

