Alpha,T1-38.9 m/s-LLT, , 
          -15,    0.06228102, , 
       -14.75,    0.06012435, , 
        -14.5,    0.05792872, , 
       -14.25,    0.05576926, , 
          -14,    0.05362904, , 
       -13.75,    0.05152565, , 
        -13.5,    0.04945319, , 
       -13.25,    0.04741652, , 
          -13,    0.04541259, , 
       -12.75,    0.04344618, , 
        -12.5,    0.04151704, , 
       -12.25,     0.0396235, , 
          -12,    0.03777173, , 
       -11.75,    0.03595593, , 
        -11.5,     0.0341818, , 
       -11.25,    0.03244934, , 
          -11,    0.03075453, , 
       -10.75,    0.02910417, , 
        -10.5,     0.0274953, , 
       -10.25,    0.02592774, , 
          -10,    0.02440488, , 
        -9.75,    0.02292547, , 
         -9.5,    0.02148877, , 
        -9.25,    0.02009705, , 
           -9,    0.01874991, , 
        -8.75,    0.01744698, , 
         -8.5,    0.01618958, , 
        -8.25,     0.0149778, , 
           -8,    0.01381144, , 
        -7.75,    0.01269106, , 
         -7.5,    0.01161698, , 
        -7.25,    0.01058926, , 
           -7,   0.009608178, , 
        -6.75,   0.008673813, , 
         -6.5,   0.007786523, , 
        -6.25,   0.006946431, , 
           -6,   0.006153658, , 
        -5.75,   0.005408332, , 
         -5.5,   0.004710663, , 
        -5.25,   0.004060703, , 
           -5,   0.003458647, , 
        -4.75,   0.002904571, , 
         -4.5,   0.002398595, , 
        -4.25,   0.001940797, , 
           -4,   0.001531246, , 
        -3.75,   0.001170054, , 
         -3.5,  0.0008572696, , 
        -3.25,  0.0005929385, , 
           -3,  0.0003771292, , 
        -2.75,  0.0002099279, , 
         -2.5,  9.133598e-05, , 
        -2.25,  2.137954e-05, , 
           -2,  7.199549e-08, , 
        -1.75,  2.742919e-05, , 
         -1.5,   0.000103466, , 
        -1.25,  0.0002281792, , 
           -1,  0.0004015585, , 
        -0.75,  0.0006235993, , 
         -0.5,  0.0008942673, , 
        -0.25,   0.001213535, , 
            0,   0.001581365, , 
         0.25,   0.001997723, , 
          0.5,   0.002462535, , 
         0.75,   0.002975757, , 
            1,   0.003537311, , 
         1.25,   0.004147133, , 
          1.5,   0.004805148, , 
         1.75,   0.005511214, , 
            2,   0.006265301, , 
         2.25,   0.007067229, , 
          2.5,   0.007916914, , 
         2.75,   0.008814261, , 
            3,    0.00975916, , 
         3.25,    0.01075136, , 
          3.5,    0.01179076, , 
         3.75,    0.01287714, , 
            4,     0.0140105, , 
         4.25,    0.01519062, , 
          4.5,    0.01641696, , 
         4.75,    0.01768967, , 
            5,    0.01900886, , 
         5.25,    0.02037333, , 
          5.5,    0.02178339, , 
         5.75,    0.02323947, , 
            6,    0.02473996, , 
         6.25,    0.02628488, , 
          6.5,    0.02787553, , 
         6.75,    0.02950962, , 
            7,    0.03118689, , 
         7.25,    0.03290983, , 
          7.5,    0.03467339, , 
         7.75,    0.03648046, , 
            8,     0.0383312, , 
         8.25,    0.04022149, , 
          8.5,    0.04215547, , 
         8.75,    0.04412885, , 
            9,    0.04614278, , 
         9.25,    0.04819761, , 
          9.5,    0.05029039, , 
         9.75,    0.05242315, , 
           10,    0.05459255, , 
        10.25,    0.05680075, , 
         10.5,    0.05904447, , 
        10.75,    0.06132396, , 
           11,    0.06363847, , 
        11.25,    0.06598668, , 
         11.5,    0.06836205, , 
        11.75,    0.07077862, , 
           12,    0.07322361, , 
        12.25,    0.07569324, , 
         12.5,     0.0781903, , 
        12.75,    0.08071044, , 
           13,    0.08324334, , 
        13.25,    0.08580849, , 
         13.5,    0.08838814, , 
        13.75,    0.09098927, , 
           14,    0.09361346, , 
        14.25,    0.09624168, , 
         14.5,    0.09887328, , 
        14.75,     0.1015079, , 
           15,     0.1041722, , 
        15.25,     0.1068305, , 
         15.5,     0.1094926, , 
        15.75,     0.1121774, , 
           16,     0.1147818, , 
        16.25,     0.1174229, , 
         16.5,     0.1200809, , 

