Cl,Cd, , 
-0.7093082,0.2324439, , 
-0.6949479,0.2260366, , 
-0.6767387,0.2190119, , 
-0.6607002,0.2124125, , 
-0.6513866,0.2068831, , 
-0.630677,0.1985843, , 
-0.6155419,0.1918697, , 
-0.6123133,0.1862122, , 
-0.5886474,0.1778619, , 
-0.5847632,0.1715971, , 
-0.5654063,0.1636379, , 
-0.5560213,0.1566552, , 
-0.5488437,0.1490108, , 
-0.535997,0.1420483, , 
-0.5389226,0.1341348, , 
-0.5214404,0.1272174, , 
-0.518044,0.1194189, , 
-0.5248569,0.1114854, , 
-0.5060959,0.1045754, , 
-0.4120762,0.06884637, , 
-0.4503599,0.05913767, , 
-0.4558898,0.05151883, , 
-0.5019466,0.02946106, , 
-0.4632886,0.02435812, , 
-0.4191368,0.02133311, , 
-0.3725923,0.0190379, , 
-0.3248116,0.01729579, , 
-0.2760847,0.01590679, , 
-0.2261945,0.01470336, , 
-0.175521,0.01357271, , 
-0.1249762,0.01226769, , 
-0.04544003,0.0114671, , 
0.04803037,0.01170757, , 
0.1396939,0.01176968, , 
0.2306027,0.01163776, , 
0.311472,0.01136438, , 
0.3790262,0.0110708, , 
0.4357233,0.01087196, , 
0.4877497,0.01082451, , 
0.5386838,0.01092337, , 
0.5892172,0.01115677, , 
0.6389101,0.01149054, , 
0.6878564,0.01187496, , 
0.7358152,0.01232506, , 
0.7827289,0.01286561, , 
0.8274858,0.01355267, , 
0.8651576,0.01496419, , 
0.8915571,0.01843892, , 
0.9270582,0.02103121, , 
0.9664063,0.02370559, , 
1.010697,0.02659953, , 
1.056869,0.02999055, , 
1.100311,0.0343056, , 
1.135372,0.0394804, , 
1.158372,0.04531297, , 
1.163043,0.05310901, , 
1.115005,0.06374755, , 
0.9916171,0.08906265, , 
0.6694244,0.1306067, , 
0.6800553,0.1364566, , 
0.6518873,0.1429577, , 
0.6355028,0.1496828, , 
0.6366282,0.1556233, , 
0.6461229,0.1614711, , 
0.6385374,0.166952, , 
0.6351269,0.1731923, , 
0.6611216,0.179958, , 
0.6417051,0.1848785, , 
0.6514898,0.1908608, , 
0.6543615,0.1963139, , 
0.6566961,0.202549, , 
0.6634333,0.2082653, , 
0.6695076,0.2145701, , 
0.6733612,0.2204912, , 
