Cl,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
   -0.8371447,    0.09184999, , 
   -0.8680725,    0.07994037, , 
   -0.8903433,    0.06993874, , 
   -0.9070808,      0.061178, , 
   -0.9177003,    0.05364169, , 
   -0.9216911,    0.04738521, , 
    -0.919378,    0.04235358, , 
   -0.9112927,    0.03839921, , 
   -0.8980206,    0.03530979, , 
   -0.8799079,    0.03288385, , 
   -0.8574645,    0.03094657, , 
   -0.8323151,    0.02939136, , 
   -0.8064907,    0.02820736, , 
   -0.7730427,    0.02713392, , 
   -0.7359027,    0.02618006, , 
   -0.6960364,    0.02533125, , 
   -0.6540332,    0.02457329, , 
   -0.6103182,    0.02389547, , 
     -0.56521,    0.02328908, , 
   -0.5189593,    0.02274762, , 
   -0.4717601,    0.02226517, , 
   -0.4237792,     0.0218376, , 
   -0.3751442,    0.02146092, , 
   -0.3259673,    0.02113221, , 
   -0.2763534,    0.02084867, , 
   -0.2263885,    0.02060752, , 
   -0.1761475,    0.02040702, , 
   -0.1257035,    0.02024747, , 
  -0.07513373,     0.0201253, , 
  -0.02450016,    0.02003941, , 
   0.02613556,    0.01998905, , 
    0.0767083,    0.01997539, , 
    0.1271554,    0.01999668, , 
    0.1774092,    0.02005208, , 
    0.2274075,     0.0201417, , 
    0.2770827,    0.02026627, , 
    0.3263448,    0.02042702, , 
    0.3751055,    0.02062396, , 
     0.423277,    0.02085766, , 
    0.4707507,    0.02112942, , 
    0.5174025,    0.02144122, , 
    0.5630811,    0.02179465, , 
    0.6075796,    0.02219377, , 
     0.650552,    0.02264047, , 
     0.690228,    0.02312178, , 
    0.7286698,    0.02367831, , 
    0.7677435,    0.02435672, , 
    0.8064264,      0.025142, , 
    0.8438677,    0.02603074, , 
    0.8798233,    0.02703569, , 
    0.9141637,    0.02817479, , 
    0.9468061,    0.02946902, , 
    0.9774872,    0.03094395, , 
     1.006301,    0.03262701, , 
     1.033087,    0.03454841, , 
     1.057762,    0.03674359, , 
     1.080161,    0.03924576, , 
     1.100312,    0.04208635, , 
      1.11799,    0.04529811, , 
     1.132931,    0.04893062, , 
     1.145333,    0.05300774, , 
     1.155161,    0.05755385, , 
     1.162329,    0.06260169, , 
     1.166999,    0.06814138, , 
      1.16901,    0.07419231, , 
      1.16866,    0.08075192, , 
      1.16585,    0.08779695, , 
      1.16127,    0.09528119, , 
     1.155129,     0.1031557, , 
       1.1481,     0.1113114, , 
     1.141128,     0.1196281, , 
     1.134621,     0.1279905, , 
     1.129418,     0.1362485, , 
     1.126223,     0.1442746, , 

