Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.017449, , 
       -14.75,    -0.9986891, , 
        -14.5,    -0.9803575, , 
       -14.25,    -0.9618818, , 
          -14,    -0.9433657, , 
       -13.75,    -0.9247003, , 
        -13.5,    -0.9059749, , 
       -13.25,    -0.8871815, , 
          -13,    -0.8682656, , 
       -12.75,    -0.8493185, , 
        -12.5,    -0.8302622, , 
       -12.25,    -0.8111639, , 
          -12,    -0.7920087, , 
       -11.75,    -0.7727572, , 
        -11.5,    -0.7534904, , 
       -11.25,    -0.7341451, , 
          -11,    -0.7147555, , 
       -10.75,     -0.695329, , 
        -10.5,    -0.6758798, , 
       -10.25,    -0.6563213, , 
          -10,    -0.6367427, , 
        -9.75,    -0.6171822, , 
         -9.5,    -0.5974986, , 
        -9.25,    -0.5778529, , 
           -9,     -0.558106, , 
        -8.75,    -0.5383933, , 
         -8.5,    -0.5185785, , 
        -8.25,    -0.4988175, , 
           -8,     -0.478933, , 
        -7.75,    -0.4591228, , 
         -7.5,    -0.4392357, , 
        -7.25,    -0.4193275, , 
           -7,    -0.3993562, , 
        -6.75,    -0.3794413, , 
         -6.5,     -0.359432, , 
        -6.25,    -0.3394796, , 
           -6,    -0.3194762, , 
        -5.75,    -0.2994553, , 
         -5.5,    -0.2794106, , 
        -5.25,    -0.2593613, , 
           -5,    -0.2392901, , 
        -4.75,    -0.2192104, , 
         -4.5,    -0.1991221, , 
        -4.25,    -0.1790161, , 
           -4,    -0.1589081, , 
        -3.75,    -0.1387862, , 
         -3.5,    -0.1186582, , 
        -3.25,   -0.09852666, , 
           -3,   -0.07838295, , 
        -2.75,   -0.05823922, , 
         -2.5,   -0.03808954, , 
        -2.25,   -0.01793651, , 
           -2,   0.002216388, , 
        -1.75,    0.02237364, , 
         -1.5,    0.04253081, , 
        -1.25,    0.06268736, , 
           -1,    0.08284295, , 
        -0.75,     0.1029985, , 
         -0.5,     0.1231484, , 
        -0.25,     0.1432965, , 
            0,      0.163441, , 
         0.25,     0.1835772, , 
          0.5,     0.2037121, , 
         0.75,     0.2238347, , 
            1,     0.2439517, , 
         1.25,     0.2640625, , 
          1.5,     0.2841584, , 
         1.75,     0.3042511, , 
            2,     0.3243256, , 
         2.25,     0.3443891, , 
          2.5,     0.3644436, , 
         2.75,     0.3844772, , 
            3,     0.4045032, , 
         3.25,      0.424505, , 
          3.5,     0.4444939, , 
         3.75,     0.4644694, , 
            4,     0.4844136, , 
         4.25,     0.5043499, , 
          4.5,     0.5242574, , 
         4.75,     0.5441415, , 
            5,     0.5640567, , 
         5.25,      0.583846, , 
          5.5,     0.6037047, , 
         5.75,     0.6234453, , 
            6,     0.6432408, , 
         6.25,     0.6629297, , 
          6.5,     0.6826576, , 
         6.75,     0.7022847, , 
            7,     0.7219444, , 
         7.25,     0.7414938, , 
          7.5,     0.7610959, , 
         7.75,     0.7805522, , 
            8,     0.8000782, , 
         8.25,     0.8195015, , 
          8.5,     0.8388775, , 
         8.75,     0.8582284, , 
            9,     0.8774973, , 
         9.25,     0.8967441, , 
          9.5,     0.9159139, , 
         9.75,     0.9350292, , 
           10,     0.9541114, , 
        10.25,     0.9730921, , 
         10.5,      0.992041, , 
        10.75,      1.010901, , 
           11,      1.029685, , 
        11.25,      1.048417, , 
         11.5,      1.067046, , 
        11.75,      1.085604, , 
           12,      1.104062, , 
        12.25,      1.122432, , 
         12.5,        1.1407, , 
        12.75,      1.158863, , 
           13,      1.176934, , 
        13.25,      1.194837, , 
         13.5,      1.212653, , 
        13.75,      1.230307, , 
           14,      1.247828, , 
        14.25,      1.265207, , 
         14.5,      1.282362, , 
        14.75,       1.29939, , 
           15,      1.316133, , 
        15.25,      1.332732, , 
         15.5,      1.348998, , 
        15.75,      1.365027, , 
           16,      1.380583, , 
        16.25,      1.394851, , 
         16.5,      1.408777, , 
        16.75,      1.422451, , 
           17,      1.436066, , 
        17.25,      1.449118, , 
         17.5,      1.461851, , 
        17.75,       1.47415, , 
           18,      1.486216, , 
        18.25,      1.497849, , 
         18.5,      1.509011, , 
        18.75,      1.519533, , 
           19,      1.529631, , 
        19.25,      1.539335, , 
         19.5,      1.548574, , 
        19.75,      1.557271, , 
           20,      1.565403, , 
        20.25,      1.572852, , 
         20.5,      1.579675, , 
        20.75,      1.585526, , 

