Alpha,Cl_a, , 
-18.5,-0.6493969, , 
-18,-0.6302611, , 
-17.5,-0.6128649, , 
-17,-0.60857, , 
-16.5,-0.5829783, , 
-16,-0.5860755, , 
-15.5,-0.5560659, , 
-15,-0.5490602, , 
-14.5,-0.5332864, , 
-14,-0.526804, , 
-13.5,-0.5105385, , 
-13,-0.5228132, , 
-12.5,-0.4940222, , 
-12,-0.5014865, , 
-11.5,-0.4850181, , 
-11,-0.4795132, , 
-10.5,-0.4860293, , 
-10,-0.5167797, , 
-9.5,-0.4815829, , 
-9,-0.5184496, , 
-8.5,-0.5315678, , 
-8,-0.7144298, , 
-7.5,-0.6858069, , 
-7,-0.652924, , 
-6.5,-0.6142923, , 
-6,-0.5728173, , 
-5.5,-0.5301195, , 
-5,-0.4858915, , 
-4.5,-0.4420325, , 
-4,-0.3622412, , 
-3.5,-0.2779212, , 
-3,-0.1968651, , 
-2.5,-0.121634, , 
-2,-0.04678116, , 
-1.5,0.02005133, , 
-1,0.1129238, , 
-0.5,0.2392093, , 
0,0.3319962, , 
0.5,0.3778103, , 
1,0.4242028, , 
1.5,0.470319, , 
2,0.5179286, , 
2.5,0.5652517, , 
3,0.6126803, , 
3.5,0.6604322, , 
4,0.7082769, , 
4.5,0.7550346, , 
5,0.8020448, , 
5.5,0.8477272, , 
6,0.8924424, , 
6.5,0.935273, , 
7,0.975348, , 
7.5,1.010426, , 
8,1.039616, , 
8.5,1.065126, , 
9,1.090154, , 
9.5,1.117503, , 
10,1.145249, , 
10.5,1.177219, , 
11,1.209797, , 
11.5,1.247263, , 
12,1.28059, , 
12.5,1.297894, , 
13,1.318411, , 
13.5,1.301041, , 
14,1.285376, , 
14.5,1.299377, , 
15,1.255309, , 
15.5,1.208122, , 
18.5,0.624295, , 
19,0.6166227, , 
19.5,0.6216383, , 
20,0.6324715, , 
