Alpha,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
          -19,    -0.4189426, , 
        -18.5,    -0.4081688, , 
          -18,    -0.3998144, , 
        -17.5,    -0.3917629, , 
          -17,    -0.3841268, , 
        -16.5,    -0.3770345, , 
          -16,    -0.3706529, , 
        -15.5,     -0.365202, , 
          -15,     -0.361001, , 
        -14.5,    -0.3585701, , 
          -14,     -0.358933, , 
        -13.5,    -0.3636624, , 
          -13,     -0.367597, , 
        -12.5,    -0.3732038, , 
          -12,    -0.3814294, , 
        -11.5,    -0.3959097, , 
          -11,    -0.4246998, , 
        -10.5,    -0.5823998, , 
          -10,    -0.6556136, , 
         -9.5,     -0.680359, , 
           -9,    -0.6714948, , 
         -8.5,    -0.6409172, , 
           -8,    -0.6000386, , 
         -7.5,    -0.5578412, , 
           -7,    -0.5147126, , 
         -6.5,    -0.4688693, , 
           -6,    -0.4207895, , 
         -5.5,     -0.371385, , 
           -5,    -0.3211905, , 
         -4.5,    -0.2704729, , 
           -4,    -0.2193835, , 
         -3.5,    -0.1680168, , 
           -3,    -0.1164535, , 
         -2.5,   -0.06475786, , 
           -2,    -0.0129817, , 
         -1.5,    0.03882653, , 
           -1,    0.09061807, , 
         -0.5,     0.1423461, , 
            0,     0.1939729, , 
          0.5,     0.2454531, , 
            1,      0.296734, , 
          1.5,     0.3477754, , 
            2,     0.3985275, , 
          2.5,     0.4489364, , 
            3,     0.4989316, , 
          3.5,     0.5484552, , 
            4,     0.5974285, , 
          4.5,     0.6457578, , 
            5,     0.6933383, , 
          5.5,     0.7400552, , 
            6,     0.7857638, , 
          6.5,     0.8302507, , 
            7,      0.873091, , 
          7.5,      0.914098, , 
            8,     0.9528013, , 
          8.5,     0.9885212, , 
            9,      1.017916, , 
          9.5,      1.044215, , 
           10,      1.065753, , 
         10.5,      1.079602, , 
           11,        1.0852, , 
         11.5,      1.086284, , 
           12,      1.091891, , 
         12.5,      1.117797, , 
           13,      1.165352, , 
         13.5,       1.17455, , 
           14,      1.150495, , 
         14.5,      1.105532, , 
           15,      1.045078, , 
         15.5,     0.9678639, , 
           16,     0.8536277, , 
           19,     0.9153503, , 
         19.5,     0.9279018, , 
           20,     0.9412554, , 

