Cl,T1_Re0.145_M0.00_N9.0, , Cl,T1_Re0.145_M0.00_N9.0, , Cl,T1_Re0.145_M0.00_N9.0, , Cl,T1_Re0.145_M0.00_N9.0, , 
   -0.6623918,      0.194416, ,    -0.3772369,      0.189548, ,    -0.3262201,     0.1821557, ,    -0.4751543,     0.2109999, , 
   -0.6481135,     0.1875351, ,     -0.368286,     0.1850866, ,    -0.3073298,     0.1775573, ,     -0.461534,     0.2047289, , 
   -0.6376191,     0.1815251, ,    -0.3610006,     0.1802369, ,    -0.3181065,     0.1745716, ,    -0.4451135,     0.1993505, , 
   -0.6219652,     0.1732593, ,    -0.3495943,     0.1758443, ,    -0.2901388,     0.1689839, ,    -0.4323866,       0.19289, , 
   -0.6092423,     0.1662471, ,    -0.3491316,     0.1713217, ,    -0.2979977,      0.165527, ,    -0.9096265,    0.06457927, , 
   -0.5998449,     0.1594931, ,    -0.3327848,     0.1666792, ,    -0.2737915,     0.1606569, ,    -0.9933401,    0.05367068, , 
    -0.587773,     0.1517611, ,    -0.3365335,     0.1625342, ,    -0.2850963,     0.1571857, ,     -1.059967,    0.04762817, , 
   -0.5773932,     0.1447321, ,     -0.317637,     0.1578754, ,    -0.2589192,     0.1526196, ,      -1.03698,    0.04566321, , 
    -0.572608,     0.1376466, ,    -0.3199679,     0.1534447, ,    -0.2617935,     0.1485141, ,     -1.063311,    0.04310462, , 
    -0.558544,     0.1300804, ,    -0.3053153,     0.1490936, ,    -0.2498543,     0.1448307, ,     -1.114263,    0.04118088, , 
    -0.555305,     0.1231881, ,    -0.3078658,     0.1446363, ,     -0.249317,     0.1406962, ,     -1.113536,    0.03954159, , 
   -0.5432163,     0.1153353, ,    -0.3182972,     0.1417163, ,    -0.2679844,     0.1375501, ,      -1.12107,    0.03808341, , 
   -0.5358837,      0.108212, ,    -0.2955147,     0.1363832, ,    -0.2424895,     0.1336251, ,     -1.122484,    0.03634959, , 
   -0.5324372,     0.1005165, ,    -0.3238767,     0.1328813, ,    -0.2588166,     0.1298495, ,     -1.111233,    0.03508357, , 
   -0.5216105,    0.09353337, ,    -0.2980411,     0.1278679, ,    -0.2993179,      0.124482, ,     -1.097726,    0.03365419, , 
   -0.3792972,    0.04344903, ,    -0.3008174,     0.1222747, ,    -0.2544154,     0.1214855, ,     -1.029137,    0.03215972, , 
   -0.2242397,    0.01849321, ,    -0.3220889,      0.115203, ,    -0.3163995,     0.1114007, ,    -0.9559583,     0.0308082, , 
   -0.1724121,    0.01571897, ,    -0.3048623,     0.1100727, ,    -0.9765384,    0.02590249, ,    -0.8884468,    0.02954762, , 
   -0.1210236,    0.01378529, ,    -0.3194655,     0.1019869, ,    -0.9818268,    0.02361079, ,    -0.8163141,    0.02832886, , 
  -0.06639903,    0.01139192, ,    -0.3478889,    0.09275062, ,     -0.977772,    0.02115107, ,     -0.750162,    0.02718568, , 
  -0.01650185,   0.009036788, ,    -0.8636493,    0.02424622, ,    -0.9645622,    0.01928049, ,    -0.6805095,    0.02613593, , 
    0.0327743,   0.009230995, ,    -0.8582126,    0.02055429, ,    -0.9459394,    0.01747088, ,    -0.6083647,    0.02505133, , 
   0.08165612,   0.009520905, ,    -0.8384897,    0.01807261, ,    -0.8977277,    0.01545021, ,    -0.5349135,     0.0239891, , 
    0.1298997,   0.009931176, ,    -0.8158463,    0.01572632, ,     -0.826369,    0.01351405, ,    -0.4625245,    0.02293782, , 
    0.1999358,    0.01041952, ,    -0.7891143,    0.01352347, ,    -0.7546266,    0.01175829, ,    -0.3944923,    0.02190713, , 
    0.2956812,    0.01067621, ,    -0.7581837,    0.01190567, ,    -0.6865098,    0.01034225, ,    -0.3290432,    0.02089738, , 
    0.3884554,    0.01065545, ,    -0.6927351,    0.01000171, ,    -0.6138583,   0.009031348, ,    -0.2728457,    0.02006027, , 
     0.467442,    0.01044371, ,    -0.6158967,   0.008406781, ,    -0.5491112,   0.008063514, ,    -0.2161303,    0.01923027, , 
    0.5296408,     0.0102249, ,    -0.5412635,   0.007099061, ,    -0.4805885,   0.007102665, ,    -0.1573123,    0.01839669, , 
