Alpha,T1-38.9 m/s-LLT, , 
          -15,     -0.971597, , 
       -14.98,    -0.9696253, , 
       -14.96,    -0.9679393, , 
       -14.94,    -0.9662699, , 
       -14.92,    -0.9646942, , 
        -14.9,     -0.963127, , 
       -14.88,    -0.9615656, , 
       -14.86,    -0.9600083, , 
       -14.84,    -0.9584533, , 
       -14.82,    -0.9568998, , 
        -14.8,    -0.9553456, , 
       -14.78,    -0.9537909, , 
       -14.76,    -0.9522364, , 
       -14.74,    -0.9506816, , 
       -14.72,    -0.9491265, , 
        -14.7,    -0.9475716, , 
       -14.68,    -0.9460167, , 
       -14.66,    -0.9444618, , 
       -14.64,    -0.9429029, , 
       -14.62,     -0.941343, , 
        -14.6,    -0.9397834, , 
       -14.58,     -0.938224, , 
       -14.56,    -0.9366641, , 
       -14.54,    -0.9351032, , 
       -14.52,    -0.9335424, , 
        -14.5,    -0.9319812, , 
       -14.48,    -0.9304645, , 
       -14.46,    -0.9288809, , 
       -14.44,    -0.9273059, , 
       -14.42,    -0.9257359, , 
        -14.4,    -0.9241688, , 
       -14.38,    -0.9226032, , 
       -14.36,    -0.9210371, , 
       -14.34,    -0.9195186, , 
       -14.32,    -0.9179326, , 
        -14.3,    -0.9163535, , 
       -14.28,    -0.9147787, , 
       -14.26,    -0.9132069, , 
       -14.24,    -0.9116353, , 
       -14.22,    -0.9100623, , 
        -14.2,    -0.9084901, , 
       -14.18,    -0.9069183, , 
       -14.16,    -0.9053468, , 
       -14.14,    -0.9037748, , 
       -14.12,    -0.9022028, , 
        -14.1,    -0.9006308, , 
       -14.08,    -0.8990589, , 
       -14.06,    -0.8974871, , 
       -14.04,    -0.8959152, , 
       -14.02,    -0.8943433, , 
          -14,    -0.8927715, , 
       -13.98,    -0.8911978, , 
       -13.96,    -0.8896214, , 
       -13.94,    -0.8880453, , 
       -13.92,    -0.8864693, , 
        -13.9,    -0.8848935, , 
       -13.88,    -0.8833169, , 
       -13.86,    -0.8817397, , 
       -13.84,    -0.8802107, , 
       -13.82,    -0.8786118, , 
        -13.8,    -0.8770199, , 
       -13.78,    -0.8754331, , 
       -13.76,    -0.8738494, , 
       -13.74,    -0.8723153, , 
       -13.72,    -0.8707135, , 
        -13.7,    -0.8691198, , 
       -13.68,    -0.8675315, , 
       -13.66,    -0.8659463, , 
       -13.64,    -0.8644106, , 
       -13.62,    -0.8628055, , 
        -13.6,    -0.8612097, , 
       -13.58,    -0.8596186, , 
       -13.56,     -0.858029, , 
       -13.54,    -0.8564399, , 
       -13.52,    -0.8549003, , 
        -13.5,    -0.8532921, , 
       -13.48,    -0.8516932, , 
