Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.055634, , 
       -14.75,     -1.036093, , 
        -14.5,     -1.016997, , 
       -14.25,     -0.997872, , 
          -14,    -0.9784881, , 
       -13.75,    -0.9591133, , 
        -13.5,    -0.9396273, , 
       -13.25,    -0.9200164, , 
          -13,    -0.9003879, , 
       -12.75,    -0.8806767, , 
        -12.5,    -0.8608304, , 
       -12.25,    -0.8410126, , 
          -12,     -0.821119, , 
       -11.75,    -0.8011464, , 
        -11.5,    -0.7811548, , 
       -11.25,    -0.7610094, , 
          -11,    -0.7408935, , 
       -10.75,    -0.7207326, , 
        -10.5,    -0.7004965, , 
       -10.25,    -0.6802598, , 
          -10,    -0.6599495, , 
        -9.75,    -0.6396044, , 
         -9.5,    -0.6192559, , 
        -9.25,    -0.5988213, , 
           -9,    -0.5783813, , 
        -8.75,    -0.5579181, , 
         -8.5,     -0.537396, , 
        -8.25,    -0.5168724, , 
           -8,    -0.4963103, , 
        -7.75,    -0.4757145, , 
         -7.5,     -0.455118, , 
        -7.25,    -0.4344706, , 
           -7,    -0.4138117, , 
        -6.75,    -0.3931466, , 
         -6.5,    -0.3724351, , 
        -6.25,    -0.3517226, , 
           -6,     -0.330993, , 
        -5.75,    -0.3102343, , 
         -5.5,    -0.2894752, , 
        -5.25,    -0.2686922, , 
           -5,    -0.2478952, , 
        -4.75,    -0.2270984, , 
         -4.5,    -0.2062734, , 
        -4.25,    -0.1854457, , 
           -4,    -0.1646139, , 
        -3.75,     -0.143762, , 
         -3.5,    -0.1229103, , 
        -3.25,    -0.1020508, , 
           -3,   -0.08118122, , 
        -2.75,    -0.0603119, , 
         -2.5,   -0.03943568, , 
        -2.25,   -0.01855687, , 
           -2,   0.002321834, , 
        -1.75,    0.02320565, , 
         -1.5,    0.04408937, , 
        -1.25,    0.06497258, , 
           -1,    0.08585427, , 
        -0.75,      0.106736, , 
         -0.5,     0.1276132, , 
        -0.25,     0.1484866, , 
            0,     0.1693599, , 
         0.25,     0.1902217, , 
          0.5,     0.2110806, , 
         0.75,     0.2319379, , 
            1,     0.2527755, , 
         1.25,     0.2736132, , 
          1.5,     0.2944419, , 
         1.75,     0.3152524, , 
            2,     0.3360626, , 
         2.25,      0.356852, , 
          2.5,     0.3776276, , 
         2.75,      0.398402, , 
            3,     0.4191426, , 
         3.25,     0.4398772, , 
          3.5,     0.4606044, , 
         3.75,     0.4812906, , 
            4,     0.5019767, , 
         4.25,     0.5226388, , 
          4.5,     0.5432684, , 
         4.75,     0.5638966, , 
            5,     0.5844821, , 
         5.25,     0.6050467, , 
          5.5,      0.625607, , 
         5.75,     0.6461038, , 
            6,     0.6665954, , 
         6.25,     0.6870645, , 
          6.5,      0.707472, , 
         6.75,     0.7278794, , 
            7,     0.7482351, , 
         7.25,     0.7685485, , 
          7.5,     0.7888565, , 
         7.75,      0.809087, , 
            8,      0.829257, , 
         8.25,     0.8494855, , 
          8.5,     0.8695806, , 
         8.75,     0.8896287, , 
            9,     0.9096988, , 
         9.25,      0.929621, , 
          9.5,     0.9496066, , 
         9.75,     0.9694233, , 
           10,     0.9892308, , 
        10.25,      1.009017, , 
         10.5,      1.028669, , 
        10.75,      1.048305, , 
           11,      1.067875, , 
        11.25,      1.087328, , 
         11.5,       1.10676, , 
        11.75,      1.126073, , 
           12,      1.145268, , 
        12.25,        1.1645, , 
         12.5,      1.183432, , 
        12.75,      1.202422, , 
           13,      1.221298, , 
        13.25,      1.239997, , 
         13.5,      1.258693, , 
        13.75,      1.277164, , 
           14,      1.295593, , 
        14.25,      1.313917, , 
         14.5,      1.331944, , 
        14.75,        1.3498, , 
           15,      1.367538, , 
        15.25,      1.385001, , 
         15.5,      1.402383, , 
        15.75,      1.419302, , 

