Alpha,T1-38.9 m/s-LLT, , 
          -15,    0.06196091, , 
       -14.75,    0.05982367, , 
        -14.5,    0.05763574, , 
       -14.25,    0.05548598, , 
          -14,    0.05335519, , 
       -13.75,    0.05126604, , 
        -13.5,    0.04920304, , 
       -13.25,    0.04717471, , 
          -13,    0.04518384, , 
       -12.75,    0.04322985, , 
        -12.5,    0.04130918, , 
       -12.25,    0.03942922, , 
          -12,    0.03758696, , 
       -11.75,    0.03578222, , 
        -11.5,    0.03401936, , 
       -11.25,     0.0322947, , 
          -11,    0.03061132, , 
       -10.75,    0.02897005, , 
        -10.5,    0.02736962, , 
       -10.25,    0.02581201, , 
          -10,    0.02429659, , 
        -9.75,    0.02282471, , 
         -9.5,    0.02139625, , 
        -9.25,    0.02001134, , 
           -9,    0.01867107, , 
        -8.75,    0.01737474, , 
         -8.5,    0.01612376, , 
        -8.25,    0.01491766, , 
           -8,    0.01375669, , 
        -7.75,    0.01264199, , 
         -7.5,    0.01157262, , 
        -7.25,    0.01054952, , 
           -7,   0.009572913, , 
        -6.75,   0.008642643, , 
         -6.5,   0.007759208, , 
        -6.25,   0.006922563, , 
           -6,   0.006133088, , 
        -5.75,   0.005390816, , 
         -5.5,    0.00469587, , 
        -5.25,   0.004048531, , 
           -5,   0.003448688, , 
        -4.75,   0.002896706, , 
         -4.5,   0.002392534, , 
        -4.25,   0.001936288, , 
           -4,   0.001528154, , 
        -3.75,   0.001168053, , 
         -3.5,  0.0008562065, , 
        -3.25,  0.0005925909, , 
           -3,  0.0003772533, , 
        -2.75,  0.0002103225, , 
         -2.5,  9.178305e-05, , 
        -2.25,  2.166875e-05, , 
           -2, -4.667304e-09, , 
        -1.75,  2.677799e-05, , 
         -1.5,  0.0001020306, , 
        -1.25,  0.0002257492, , 
           -1,  0.0003979229, , 
        -0.75,  0.0006185565, , 
         -0.5,  0.0008875874, , 
        -0.25,   0.001205007, , 
            0,   0.001570804, , 
         0.25,   0.001984856, , 
          0.5,   0.002447204, , 
         0.75,   0.002957699, , 
            1,   0.003516292, , 
         1.25,   0.004122984, , 
          1.5,   0.004777531, , 
         1.75,    0.00548002, , 
            2,   0.006230192, , 
         2.25,    0.00702799, , 
          2.5,   0.007873357, , 
         2.75,   0.008766048, , 
            3,    0.00970606, , 
         3.25,    0.01069298, , 
          3.5,      0.011727, , 
         3.75,    0.01280787, , 
            4,    0.01393493, , 
         4.25,    0.01510888, , 
          4.5,    0.01632879, , 
         4.75,    0.01759449, , 
            5,    0.01890631, , 
         5.25,     0.0202633, , 
          5.5,     0.0216659, , 
         5.75,    0.02311319, , 
            6,     0.0246053, , 
         6.25,    0.02614204, , 
          6.5,    0.02772254, , 
         6.75,    0.02934744, , 
            7,     0.0310149, , 
         7.25,    0.03272612, , 
          7.5,    0.03448066, , 
         7.75,    0.03627587, , 
            8,    0.03811461, , 
         8.25,    0.03999403, , 
          8.5,    0.04191377, , 
         8.75,    0.04387641, , 
            9,    0.04587677, , 
         9.25,    0.04791685, , 
          9.5,    0.04999774, , 
         9.75,    0.05211443, , 
           10,    0.05426988, , 
        10.25,    0.05646339, , 
         10.5,    0.05869127, , 
        10.75,     0.0609554, , 
           11,    0.06325521, , 
        11.25,    0.06558698, , 
         11.5,    0.06795388, , 
        11.75,    0.07035055, , 
           12,    0.07277809, , 
        12.25,    0.07523375, , 
         12.5,    0.07772246, , 
        12.75,    0.08023214, , 
           13,    0.08277884, , 
        13.25,    0.08533211, , 
         13.5,    0.08792268, , 
        13.75,    0.09052648, , 
           14,    0.09315052, , 
        14.25,    0.09579313, , 
         14.5,    0.09844449, , 
        14.75,     0.1011117, , 
           15,     0.1037772, , 
        15.25,     0.1064564, , 
         15.5,     0.1091062, , 
        15.75,     0.1117135, , 
           16,     0.1143327, , 
        16.25,      0.116871, , 
         16.5,     0.1194316, , 
        16.75,     0.1219451, , 
           17,     0.1244091, , 
        17.25,     0.1268621, , 
         17.5,     0.1292885, , 
        17.75,     0.1316314, , 
           18,     0.1339738, , 
        18.25,     0.1362169, , 
         18.5,     0.1384216, , 
        18.75,     0.1405871, , 
           19,     0.1426796, , 
        19.25,     0.1447257, , 
         19.5,     0.1466875, , 
        19.75,      0.148456, , 
           20,     0.1501565, , 
        20.25,     0.1518123, , 

