Cl,Cd, , 
-0.3262201,0.1821557, , 
-0.3073298,0.1775573, , 
-0.3181065,0.1745716, , 
-0.2901388,0.1689839, , 
-0.2979977,0.165527, , 
-0.2737915,0.1606569, , 
-0.2850963,0.1571857, , 
-0.2589192,0.1526196, , 
-0.2617935,0.1485141, , 
-0.2498543,0.1448307, , 
-0.249317,0.1406962, , 
-0.2679844,0.1375501, , 
-0.2424895,0.1336251, , 
-0.2588166,0.1298495, , 
-0.2993179,0.124482, , 
-0.2544154,0.1214855, , 
-0.3163995,0.1114007, , 
-0.9765384,0.02590249, , 
-0.9818268,0.02361079, , 
-0.977772,0.02115107, , 
-0.9645622,0.01928049, , 
-0.9459394,0.01747088, , 
-0.8977277,0.01545021, , 
-0.826369,0.01351405, , 
-0.7546266,0.01175829, , 
-0.6865098,0.01034225, , 
-0.6138583,0.009031348, , 
-0.5491112,0.008063514, , 
-0.4805885,0.007102665, , 
-0.4093359,0.006235001, , 
-0.3392461,0.005450804, , 
-0.2736656,0.004776189, , 
-0.2107769,0.004162522, , 
-0.1593235,0.003746328, , 
-0.1031268,0.003289916, , 
-0.04920954,0.002938134, , 
0.000720318,0.002697059, , 
0.0518217,0.002497547, , 
0.1019379,0.002372126, , 
0.1513007,0.002319044, , 
0.2024932,0.002300541, , 
0.2513961,0.002362218, , 
0.3047752,0.00245825, , 
0.3607848,0.002617733, , 
0.4323945,0.002837829, , 
0.6806308,0.01691594, , 
0.7824608,0.01700255, , 
0.8242312,0.01713617, , 
0.8588296,0.01738486, , 
0.895046,0.0176933, , 
0.9309679,0.01808316, , 
0.9634587,0.01852337, , 
0.9993841,0.01897398, , 
1.030389,0.01949856, , 
1.063633,0.02001198, , 
1.092796,0.02060076, , 
1.124326,0.02121063, , 
1.150203,0.02195506, , 
1.176549,0.02281135, , 
1.198657,0.02377531, , 
1.214027,0.02497515, , 
1.231606,0.0264405, , 
1.248168,0.02816754, , 
1.260979,0.03029033, , 
1.275625,0.03263388, , 
1.28543,0.03544191, , 
1.298197,0.03835021, , 
1.307973,0.04169138, , 
1.315822,0.04535733, , 
1.324314,0.04918525, , 
1.332656,0.05320183, , 
1.342095,0.05731037, , 
1.355066,0.06117866, , 
1.357972,0.06617806, , 
1.353079,0.07232203, , 
1.36682,0.07643346, , 
1.348859,0.08450763, , 
1.3525,0.09008889, , 
1.316705,0.101411, , 
1.334705,0.1050955, , 
