Cl,T1_Re0.145_M0.00_N9.0, , 
   -0.4751543,     0.2109999, , 
    -0.461534,     0.2047289, , 
   -0.4451135,     0.1993505, , 
   -0.4323866,       0.19289, , 
   -0.9096265,    0.06457927, , 
   -0.9933401,    0.05367068, , 
    -1.059967,    0.04762817, , 
     -1.03698,    0.04566321, , 
    -1.063311,    0.04310462, , 
    -1.114263,    0.04118088, , 
    -1.113536,    0.03954159, , 
     -1.12107,    0.03808341, , 
    -1.122484,    0.03634959, , 
    -1.111233,    0.03508357, , 
    -1.097726,    0.03365419, , 
    -1.029137,    0.03215972, , 
   -0.9559583,     0.0308082, , 
   -0.8884468,    0.02954762, , 
   -0.8163141,    0.02832886, , 
    -0.750162,    0.02718568, , 
   -0.6805095,    0.02613593, , 
   -0.6083647,    0.02505133, , 
   -0.5349135,     0.0239891, , 
   -0.4625245,    0.02293782, , 
   -0.3944923,    0.02190713, , 
   -0.3290432,    0.02089738, , 
   -0.2728457,    0.02006027, , 
   -0.2161303,    0.01923027, , 
   -0.1573123,    0.01839669, , 
   -0.1041698,    0.01778717, , 
  -0.05084998,     0.0172544, , 
  0.003044112,    0.01682407, , 
    0.0530028,     0.0165717, , 
    0.1076407,    0.01634984, , 
    0.1556557,     0.0163448, , 
    0.2086604,    0.01636418, , 
    0.2619157,    0.01650558, , 
    0.3114639,    0.01678747, , 
    0.3661878,      0.017176, , 
    0.4238271,    0.01763941, , 
     0.492091,    0.01822744, , 
    0.5650495,    0.01888787, , 
    0.6503625,    0.01948066, , 
    0.7428706,    0.01994881, , 
    0.8356193,     0.0203598, , 
    0.9279417,    0.02064786, , 
     1.013509,    0.02078778, , 
     1.042796,    0.02104884, , 
     1.093366,    0.02183208, , 
     1.114176,    0.02231814, , 
     1.133595,    0.02284002, , 
     1.152171,    0.02339514, , 
       1.1705,    0.02399398, , 
     1.188255,    0.02465112, , 
     1.204628,    0.02538705, , 
     1.222276,    0.02624773, , 
     1.244523,    0.02727294, , 
     1.261619,    0.02859748, , 
     1.274368,     0.0302396, , 
     1.288084,    0.03210016, , 
     1.301999,    0.03418145, , 
     1.315717,    0.03649181, , 
     1.328529,    0.03904716, , 
     1.340345,    0.04187075, , 
      1.34988,    0.04501391, , 
     1.356498,    0.04856664, , 
     1.359571,    0.05263181, , 
     1.359419,    0.05726374, , 
     1.357255,     0.0623739, , 
     1.356084,    0.06765008, , 
      1.36188,    0.07232199, , 
     1.381359,    0.07552829, , 
     1.345575,    0.08544094, , 
     1.337958,    0.09226699, , 
     1.373042,    0.09350049, , 

