Cl,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
   -0.5351898,      0.199993, , 
    -0.533799,     0.1895867, , 
   -0.5433051,     0.1766475, , 
    -0.627751,     0.1482109, , 
   -0.6779662,     0.1305961, , 
   -0.7083047,     0.1175999, , 
   -0.7364755,     0.1054899, , 
    -0.766682,    0.09349006, , 
   -0.7977177,    0.08177232, , 
   -0.8229131,    0.07139684, , 
   -0.8402248,    0.06262617, , 
   -0.8493562,    0.05541164, , 
   -0.8508901,    0.04953111, , 
   -0.8459663,    0.04474498, , 
   -0.8356411,    0.04085211, , 
   -0.8208765,    0.03767737, , 
    -0.802349,    0.03508091, , 
   -0.7805348,    0.03294984, , 
   -0.7558998,    0.03120247, , 
   -0.7287385,    0.02973116, , 
   -0.6994595,    0.02848889, , 
    -0.668985,    0.02744469, , 
   -0.6395287,    0.02662626, , 
   -0.6073493,    0.02593331, , 
    -0.570344,     0.0252924, , 
   -0.5311342,     0.0247208, , 
   -0.4901729,    0.02420983, , 
   -0.4478126,    0.02375418, , 
   -0.4043101,    0.02334906, , 
   -0.3598756,    0.02299088, , 
   -0.3146893,    0.02267766, , 
   -0.2688799,      0.022408, , 
   -0.2225975,    0.02217815, , 
   -0.1759599,    0.02198668, , 
   -0.1290812,    0.02183296, , 
  -0.08205189,     0.0217154, , 
  -0.03496069,    0.02163369, , 
   0.01210119,    0.02158797, , 
   0.05901835,     0.0215774, , 
    0.1056953,    0.02160185, , 
    0.1520332,    0.02166119, , 
    0.1979199,    0.02175582, , 
    0.2432334,    0.02188765, , 
     0.287829,    0.02205665, , 
    0.3315299,    0.02226496, , 
    0.3739397,    0.02251252, , 
    0.4133882,    0.02278738, , 
    0.4521875,    0.02312599, , 
    0.4914235,    0.02355212, , 
    0.5314601,    0.02408268, , 
    0.5711263,    0.02469637, , 
    0.6099504,    0.02539443, , 
    0.6477165,    0.02618678, , 
    0.6843447,    0.02708334, , 
    0.7197046,    0.02809997, , 
    0.7537243,    0.02925232, , 
    0.7863256,     0.0305583, , 
    0.8174058,    0.03203949, , 
    0.8468393,    0.03371527, , 
    0.8745903,    0.03561017, , 
    0.9004105,    0.03775095, , 
    0.9243512,    0.04015951, , 
    0.9460632,     0.0428557, , 
    0.9658623,    0.04587689, , 
    0.9835786,    0.04922849, , 
    0.9992195,    0.05295575, , 
     1.012803,    0.05704428, , 
     1.024317,    0.06152208, , 
     1.033741,    0.06640403, , 
     1.040985,    0.07168161, , 
     1.046298,    0.07735125, , 
     1.049678,    0.08338982, , 
     1.051213,    0.08979547, , 
     1.051353,     0.0965303, , 
     1.050368,     0.1035174, , 
      1.04851,     0.1107513, , 
     1.046181,     0.1181878, , 
     1.044157,     0.1256533, , 
     1.042687,     0.1331217, , 
     1.042265,     0.1405276, , 
      1.04253,      0.147916, , 

