CD,T1-38.9 m/s-LLT, , 
   0.06706628,     -1.119839, , 
   0.06500166,     -1.100023, , 
   0.06291968,     -1.080371, , 
   0.06086804,     -1.060562, , 
   0.05884879,     -1.040563, , 
   0.05686266,     -1.020428, , 
    0.0549105,     -1.000159, , 
   0.05299335,    -0.9797483, , 
   0.05111213,    -0.9592103, , 
   0.04926675,    -0.9385779, , 
   0.04745912,    -0.9178058, , 
   0.04568812,     -0.896964, , 
   0.04395606,    -0.8759972, , 
   0.04226198,    -0.8549546, , 
   0.04060616,    -0.8338428, , 
   0.03899089,    -0.8126221, , 
   0.03741389,    -0.7913539, , 
   0.03587422,    -0.7700329, , 
   0.03438166,    -0.7485722, , 
   0.03292246,    -0.7271345, , 
   0.03151154,    -0.7055434, , 
   0.03013453,    -0.6839885, , 
   0.02880609,    -0.6622806, , 
   0.02751231,     -0.640618, , 
   0.02626357,    -0.6188608, , 
    0.0250595,    -0.5970135, , 
   0.02389228,     -0.575206, , 
   0.02276976,    -0.5533192, , 
   0.02168927,    -0.5313968, , 
   0.02065254,    -0.5094233, , 
   0.01965738,    -0.4874264, , 
    0.0187063,     -0.465385, , 
   0.01779715,    -0.4433201, , 
   0.01693098,    -0.4212268, , 
    0.0161089,    -0.3990974, , 
   0.01532878,    -0.3769513, , 
   0.01459341,    -0.3547697, , 
   0.01390018,    -0.3325739, , 
   0.01325115,    -0.3103514, , 
   0.01264526,    -0.2881103, , 
   0.01208238,    -0.2658544, , 
   0.01156452,    -0.2435722, , 
   0.01108844,    -0.2212839, , 
   0.01065816,    -0.1989718, , 
   0.01026976,    -0.1766529, , 
   0.00992551,    -0.1543214, , 
  0.009625994,    -0.1319749, , 
  0.009367637,    -0.1096268, , 
  0.009156456,   -0.08726129, , 
  0.008986311,   -0.06489436, , 
  0.008860875,   -0.04252148, , 
  0.008779739,   -0.02014295, , 
  0.008739116,   0.002235468, , 
   0.00874691,    0.02461968, , 
  0.008795098,    0.04700376, , 
  0.008887645,    0.06938669, , 
  0.009024451,    0.09176854, , 
  0.009202488,     0.1141494, , 
  0.009426892,     0.1365224, , 
  0.009692452,     0.1588946, , 
   0.01000235,     0.1812575, , 
   0.01035567,     0.2036131, , 
   0.01075089,     0.2259634, , 
   0.01119079,     0.2482981, , 
   0.01167234,     0.2706283, , 
   0.01219792,     0.2929399, , 
   0.01276586,     0.3152414, , 
   0.01337643,     0.3375279, , 
   0.01403005,      0.359795, , 
   0.01472544,     0.3820507, , 
   0.01546416,       0.40428, , 
   0.01624432,     0.4264966, , 
   0.01706738,     0.4486849, , 
   0.01793233,     0.4708524, , 
   0.01883865,     0.4930006, , 
   0.01978746,     0.5151144, , 
    0.0207772,       0.53721, , 
     0.021809,     0.5592665, , 
   0.02288164,     0.5812995, , 
   0.02399538,     0.6032988, , 
   0.02515028,     0.6252599, , 
   0.02634551,     0.6471917, , 
   0.02758148,     0.6690798, , 
   0.02885739,     0.6909372, , 
   0.03016973,     0.7127903, , 
   0.03152895,     0.7345161, , 
   0.03292067,     0.7562759, , 
   0.03435899,      0.777904, , 
   0.03582823,     0.7995802, , 
   0.03734448,     0.8210965, , 
   0.03889054,     0.8426617, , 
   0.04047825,     0.8641136, , 
   0.04210879,     0.8854619, , 
   0.04376728,      0.906847, , 
   0.04547154,      0.928058, , 
   0.04720288,      0.949305, , 
   0.04897395,     0.9704233, , 
   0.05078087,     0.9914696, , 
   0.05262279,      1.012436, , 
   0.05449872,      1.033308, , 
   0.05640832,      1.054097, , 
   0.05835108,      1.074795, , 
   0.06032564,      1.095385, , 
   0.06233202,      1.115871, , 
   0.06436905,      1.136261, , 
   0.06643522,      1.156494, , 
   0.06853163,      1.176658, , 
   0.07065411,      1.196637, , 
   0.07280461,      1.216502, , 
   0.07497976,      1.236218, , 
   0.07717787,      1.255732, , 
   0.07940178,      1.275164, , 
   0.08163461,       1.29433, , 
   0.08389771,      1.313373, , 
   0.08617281,       1.33209, , 
   0.08846516,       1.35061, , 
   0.09076962,      1.368893, , 
   0.09307716,      1.386784, , 
   0.09539054,      1.404447, , 
   0.09765693,      1.421154, , 
   0.09992985,      1.437682, , 
    0.1021691,      1.453412, , 
    0.1043749,      1.468506, , 
    0.1065894,      1.483282, , 
    0.1087742,      1.497531, , 
     0.110984,      1.511381, , 
     0.113202,      1.524901, , 
    0.1153699,      1.537558, , 
    0.1175054,      1.549721, , 
      0.11969,      1.561527, , 
    0.1218743,      1.572816, , 
    0.1240862,      1.583649, , 
    0.1263246,      1.593886, , 
    0.1285569,      1.603439, , 
    0.1308055,      1.612328, , 
    0.1330982,      1.620656, , 
    0.1354097,      1.628094, , 
    0.1377794,      1.634878, , 

