CD_induced,T1-38.9 m/s-LLT, , 
   0.05072552,     -1.119839, , 
   0.04902706,     -1.100023, , 
   0.04728978,     -1.080371, , 
    0.0455701,     -1.060562, , 
   0.04386654,     -1.040563, , 
   0.04218441,     -1.020428, , 
   0.04052504,     -1.000159, , 
   0.03888759,    -0.9797483, , 
   0.03727507,    -0.9592103, , 
   0.03568921,    -0.9385779, , 
   0.03412823,    -0.9178058, , 
   0.03259698,     -0.896964, , 
   0.03109233,    -0.8759972, , 
   0.02961818,    -0.8549546, , 
   0.02817507,    -0.8338428, , 
   0.02676148,    -0.8126221, , 
   0.02538099,    -0.7913539, , 
    0.0240268,    -0.7700329, , 
    0.0227146,    -0.7485722, , 
   0.02142846,    -0.7271345, , 
   0.02018323,    -0.7055434, , 
   0.01896554,    -0.6839885, , 
   0.01778925,    -0.6622806, , 
    0.0166417,     -0.640618, , 
    0.0155326,    -0.6188608, , 
   0.01446371,    -0.5970135, , 
    0.0134244,     -0.575206, , 
   0.01242456,    -0.5533192, , 
   0.01146227,    -0.5313968, , 
   0.01053691,    -0.5094233, , 
  0.009649479,    -0.4874264, , 
  0.008799495,     -0.465385, , 
  0.007987859,    -0.4433201, , 
  0.007214498,    -0.4212268, , 
   0.00647944,    -0.3990974, , 
  0.005783296,    -0.3769513, , 
  0.005125768,    -0.3547697, , 
  0.004507479,    -0.3325739, , 
  0.003928275,    -0.3103514, , 
  0.003388473,    -0.2881103, , 
  0.002888192,    -0.2658544, , 
    0.0024274,    -0.2435722, , 
  0.002006473,    -0.2212839, , 
  0.001625235,    -0.1989718, , 
  0.001284027,    -0.1766529, , 
  0.000982806,    -0.1543214, , 
 0.0007216423,    -0.1319749, , 
    0.0005007,    -0.1096268, , 
 0.0003199025,   -0.08726129, , 
  0.000179411,   -0.06489436, , 
 7.922171e-05,   -0.04252148, , 
 1.936919e-05,   -0.02014295, , 
-1.188124e-07,   0.002235468, , 
 2.076866e-05,    0.02461968, , 
 8.204182e-05,    0.04700376, , 
  0.000183695,    0.06938669, , 
 0.0003257226,    0.09176854, , 
 0.0005081187,     0.1141494, , 
 0.0007308125,     0.1365224, , 
 0.0009938389,     0.1588946, , 
  0.001297086,     0.1812575, , 
  0.001640527,     0.2036131, , 
  0.002024159,     0.2259634, , 
  0.002447776,     0.2482981, , 
  0.002911485,     0.2706283, , 
  0.003415006,     0.2929399, , 
  0.003958386,     0.3152414, , 
  0.004541475,     0.3375279, , 
  0.005164092,      0.359795, , 
  0.005826301,     0.3820507, , 
  0.006527669,       0.40428, , 
  0.007268428,     0.4264966, , 
  0.008048026,     0.4486849, , 
  0.008866549,     0.4708524, , 
  0.009723952,     0.4930006, , 
    0.0106196,     0.5151144, , 
   0.01155382,       0.53721, , 
   0.01252584,     0.5592665, , 
   0.01353596,     0.5812995, , 
   0.01458372,     0.6032988, , 
   0.01566865,     0.6252599, , 
   0.01679095,     0.6471917, , 
   0.01794993,     0.6690798, , 
   0.01914574,     0.6909372, , 
   0.02037325,     0.7127903, , 
   0.02164477,     0.7345161, , 
   0.02294384,     0.7562759, , 
    0.0242862,      0.777904, , 
   0.02565591,     0.7995802, , 
   0.02706719,     0.8210965, , 
   0.02850498,     0.8426617, , 
   0.02997891,     0.8641136, , 
   0.03149198,     0.8854619, , 
   0.03302879,      0.906847, , 
   0.03460535,      0.928058, , 
   0.03620527,      0.949305, , 
   0.03783893,     0.9704233, , 
    0.0395037,     0.9914696, , 
   0.04119853,      1.012436, , 
   0.04292107,      1.033308, , 
    0.0446722,      1.054097, , 
   0.04645112,      1.074795, , 
   0.04825504,      1.095385, , 
   0.05008509,      1.115871, , 
   0.05193985,      1.136261, , 
   0.05381526,      1.156494, , 
   0.05571687,      1.176658, , 
   0.05763498,      1.196637, , 
   0.05957529,      1.216502, , 
    0.0615324,      1.236218, , 
   0.06350311,      1.255732, , 
    0.0654953,      1.275164, , 
   0.06748216,       1.29433, , 
   0.06949534,      1.313373, , 
   0.07150712,       1.33209, , 
   0.07352809,       1.35061, , 
   0.07555166,      1.368893, , 
   0.07756396,      1.386784, , 
   0.07957738,      1.404447, , 
   0.08152505,      1.421154, , 
   0.08347167,      1.437682, , 
   0.08535754,      1.453412, , 
   0.08719657,      1.468506, , 
   0.08901497,      1.483282, , 
   0.09077929,      1.497531, , 
    0.0925364,      1.511381, , 
    0.0942705,      1.524901, , 
   0.09591794,      1.537558, , 
   0.09749064,      1.549721, , 
   0.09905915,      1.561527, , 
    0.1005673,      1.572816, , 
    0.1020426,      1.583649, , 
    0.1034694,      1.593886, , 
    0.1048135,      1.603439, , 
    0.1060855,      1.612328, , 
    0.1073109,      1.620656, , 
    0.1084273,      1.628094, , 
    0.1094868,      1.634878, , 

