Alpha,T1_Re0.145_M0.00_N9.0, , 
          -20,    -0.7553769, , 
          -19,    -0.4728824, , 
        -18.5,    -0.4587985, , 
          -18,    -0.4610801, , 
        -17.5,     -0.443476, , 
          -17,    -0.4541137, , 
        -16.5,    -0.4302162, , 
          -16,    -0.4402921, , 
        -15.5,    -0.4178379, , 
          -15,     -0.422753, , 
        -14.5,    -0.4109437, , 
          -14,    -0.4152282, , 
        -13.5,     -0.422333, , 
          -13,    -0.4136119, , 
        -12.5,    -0.4236988, , 
          -12,    -0.4501375, , 
        -11.5,    -0.5669036, , 
          -11,    -0.6404211, , 
        -10.5,    -0.8726768, , 
          -10,    -0.8901947, , 
         -9.5,    -0.8734795, , 
           -9,    -0.8470336, , 
         -8.5,    -0.8157847, , 
           -8,    -0.7806148, , 
         -7.5,    -0.7418946, , 
           -7,    -0.7020457, , 
         -6.5,    -0.6624237, , 
           -6,    -0.6226833, , 
         -5.5,    -0.5829952, , 
           -5,    -0.5427018, , 
         -4.5,     -0.501196, , 
           -4,    -0.4581709, , 
         -3.5,     -0.414635, , 
           -3,    -0.3710934, , 
         -2.5,    -0.2901858, , 
           -2,    -0.2088066, , 
         -1.5,    -0.1315806, , 
           -1,   -0.04609546, , 
         -0.5,    0.06505503, , 
            0,     0.1836786, , 
          0.5,     0.2953223, , 
            1,     0.3532373, , 
          1.5,     0.3963258, , 
            2,     0.4408584, , 
          2.5,     0.4855938, , 
            3,     0.5304766, , 
          3.5,     0.5751477, , 
            4,     0.6193715, , 
          4.5,     0.6628573, , 
            5,     0.7053371, , 
          5.5,     0.7464803, , 
            6,     0.7859781, , 
          6.5,     0.8232788, , 
            7,     0.8581009, , 
          7.5,     0.8928967, , 
            8,     0.9283878, , 
          8.5,     0.9654896, , 
            9,      1.004737, , 
          9.5,      1.045909, , 
           10,      1.086381, , 
         10.5,      1.126067, , 
           11,      1.162593, , 
         11.5,       1.18167, , 
           12,      1.215012, , 
         12.5,      1.199986, , 
           13,      1.166679, , 
         13.5,      1.122931, , 
           14,      1.070138, , 
         14.5,      1.014525, , 

