Alpha,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
          -20,    -0.3782239, , 
        -19.5,    -0.3698167, , 
          -19,     -0.361717, , 
        -18.5,    -0.3540493, , 
          -18,    -0.3469547, , 
        -17.5,    -0.3406008, , 
          -17,    -0.3352409, , 
        -16.5,    -0.3311721, , 
          -16,    -0.3290146, , 
        -15.5,    -0.3297282, , 
          -15,    -0.3352227, , 
        -14.5,    -0.3479428, , 
          -14,    -0.3749324, , 
        -13.5,    -0.7668454, , 
          -13,    -0.8086031, , 
        -12.5,    -0.8239517, , 
          -12,     -0.821264, , 
        -11.5,    -0.8093823, , 
          -11,    -0.7952628, , 
        -10.5,    -0.7771077, , 
          -10,    -0.7509613, , 
         -9.5,    -0.7191725, , 
           -9,    -0.6827732, , 
         -8.5,    -0.6429106, , 
           -8,    -0.6004752, , 
         -7.5,    -0.5561634, , 
           -7,    -0.5104439, , 
         -6.5,    -0.4636294, , 
           -6,     -0.415951, , 
         -5.5,    -0.3675849, , 
           -5,     -0.318659, , 
         -4.5,    -0.2692842, , 
           -4,    -0.2195543, , 
         -3.5,    -0.1695467, , 
           -3,    -0.1193374, , 
         -2.5,   -0.06899127, , 
           -2,   -0.01856065, , 
         -1.5,    0.03188887, , 
           -1,    0.08229557, , 
         -0.5,     0.1326071, , 
            0,     0.1827716, , 
          0.5,     0.2327278, , 
            1,     0.2824146, , 
          1.5,     0.3317603, , 
            2,     0.3807016, , 
          2.5,     0.4291555, , 
            3,     0.4770383, , 
          3.5,     0.5242348, , 
            4,     0.5706222, , 
          4.5,     0.6160649, , 
            5,     0.6603875, , 
          5.5,     0.7033729, , 
            6,     0.7447144, , 
          6.5,     0.7838259, , 
            7,     0.8186854, , 
          7.5,     0.8525971, , 
            8,     0.8859622, , 
          8.5,      0.917144, , 
            9,      0.945779, , 
          9.5,     0.9716589, , 
           10,     0.9946552, , 
         10.5,      1.014662, , 
           11,      1.031348, , 
         11.5,      1.044557, , 
           12,      1.053995, , 
         12.5,      1.059184, , 
           13,      1.059891, , 
         13.5,      1.056279, , 
           14,      1.048549, , 
         14.5,      1.036654, , 
           15,      1.021306, , 
         15.5,      1.003618, , 
           16,     0.9844168, , 
         16.5,     0.9638762, , 
           17,     0.9377386, , 
         17.5,      0.919299, , 
           18,     0.9111266, , 
         18.5,     0.9048334, , 
           19,     0.8866081, , 

