Alpha,T1-38.9 m/s-VLM1, , 
          -15,    -0.5600079, , 
       -14.75,    -0.5497589, , 
        -14.5,    -0.5394756, , 
       -14.25,    -0.5291586, , 
          -14,    -0.5188085, , 
       -13.75,    -0.5084258, , 
        -13.5,    -0.4980113, , 
       -13.25,    -0.4875654, , 
          -13,    -0.4770888, , 
       -12.75,    -0.4665821, , 
        -12.5,     -0.456046, , 
       -12.25,    -0.4454811, , 
          -12,    -0.4348879, , 
       -11.75,    -0.4242672, , 
        -11.5,    -0.4136195, , 
       -11.25,    -0.4029455, , 
          -11,    -0.3922459, , 
       -10.75,    -0.3815212, , 
        -10.5,    -0.3707722, , 
       -10.25,    -0.3599995, , 
          -10,    -0.3492038, , 
        -9.75,    -0.3383857, , 
         -9.5,    -0.3275458, , 
        -9.25,    -0.3166849, , 
           -9,    -0.3058037, , 
        -8.75,    -0.2949027, , 
         -8.5,    -0.2839826, , 
        -8.25,    -0.2730443, , 
           -8,    -0.2620882, , 
        -7.75,    -0.2511152, , 
         -7.5,    -0.2401258, , 
        -7.25,    -0.2291208, , 
           -7,    -0.2181009, , 
        -6.75,    -0.2070668, , 
         -6.5,    -0.1960191, , 
        -6.25,    -0.1849586, , 
           -6,    -0.1738859, , 
        -5.75,    -0.1628018, , 
         -5.5,    -0.1517069, , 
        -5.25,     -0.140602, , 
           -5,    -0.1294877, , 
        -4.75,    -0.1183648, , 
         -4.5,     -0.107234, , 
        -4.25,    -0.0960959, , 
           -4,   -0.08495134, , 
        -3.75,   -0.07380097, , 
         -3.5,   -0.06264551, , 
        -3.25,   -0.05148567, , 
           -3,   -0.04032217, , 
        -2.75,    -0.0291557, , 
         -2.5,   -0.01798699, , 
        -2.25,  -0.006816748, , 
           -2,    0.00435431, , 
        -1.75,    0.01552547, , 
         -1.5,    0.02669602, , 
        -1.25,    0.03786525, , 
           -1,    0.04903244, , 
        -0.75,    0.06019688, , 
         -0.5,    0.07135786, , 
        -0.25,    0.08251467, , 
            0,    0.09366658, , 
         0.25,     0.1048129, , 
          0.5,     0.1159529, , 
         0.75,     0.1270859, , 
            1,     0.1382112, , 
         1.25,      0.149328, , 
          1.5,     0.1604357, , 
         1.75,     0.1715336, , 
            2,     0.1826209, , 
         2.25,     0.1936969, , 
          2.5,      0.204761, , 
         2.75,     0.2158124, , 
            3,     0.2268505, , 
         3.25,     0.2378746, , 
          3.5,     0.2488839, , 
         3.75,     0.2598778, , 
            4,     0.2708556, , 
         4.25,     0.2818166, , 
          4.5,       0.29276, , 
         4.75,     0.3036854, , 
            5,     0.3145918, , 
         5.25,     0.3254787, , 
          5.5,     0.3363455, , 
         5.75,     0.3471913, , 
            6,     0.3580156, , 
         6.25,     0.3688177, , 
          6.5,     0.3795969, , 
         6.75,     0.3903526, , 
            7,     0.4010841, , 
         7.25,     0.4117908, , 
          7.5,     0.4224719, , 
         7.75,      0.433127, , 
            8,     0.4437552, , 
         8.25,      0.454356, , 
          8.5,     0.4649288, , 
         8.75,     0.4754729, , 
            9,     0.4859876, , 
         9.25,     0.4964725, , 
          9.5,     0.5069267, , 

