Alpha,T1-38.9 m/s-LLT, , 
          -15,    -0.9489755, , 
       -14.75,    -0.9303978, , 
        -14.5,     -0.912852, , 
       -14.25,    -0.8952118, , 
          -14,    -0.8775494, , 
       -13.75,    -0.8598297, , 
        -13.5,     -0.842052, , 
       -13.25,    -0.8242412, , 
          -13,    -0.8063816, , 
       -12.75,    -0.7884861, , 
        -12.5,    -0.7705454, , 
       -12.25,     -0.752568, , 
          -12,    -0.7345687, , 
       -11.75,    -0.7165156, , 
        -11.5,    -0.6984384, , 
       -11.25,    -0.6803418, , 
          -11,    -0.6621949, , 
       -10.75,    -0.6440287, , 
        -10.5,    -0.6258457, , 
       -10.25,    -0.6076195, , 
          -10,    -0.5893757, , 
        -9.75,     -0.571116, , 
         -9.5,    -0.5528221, , 
        -9.25,    -0.5345109, , 
           -9,    -0.5161824, , 
        -8.75,    -0.4978279, , 
         -8.5,    -0.4794592, , 
        -8.25,    -0.4610703, , 
           -8,     -0.442664, , 
        -7.75,    -0.4242459, , 
         -7.5,    -0.4058053, , 
        -7.25,    -0.3873546, , 
           -7,     -0.368893, , 
        -6.75,    -0.3504087, , 
         -6.5,    -0.3319189, , 
        -6.25,    -0.3134181, , 
           -6,    -0.2948992, , 
        -5.75,    -0.2763765, , 
         -5.5,    -0.2578419, , 
        -5.25,    -0.2392956, , 
           -5,    -0.2207456, , 
        -4.75,    -0.2021835, , 
         -4.5,    -0.1836147, , 
        -4.25,    -0.1650427, , 
           -4,    -0.1464596, , 
        -3.75,    -0.1278725, , 
         -3.5,    -0.1092836, , 
        -3.25,   -0.09068328, , 
           -3,    -0.0720811, , 
        -2.75,   -0.05347882, , 
         -2.5,   -0.03487303, , 
        -2.25,   -0.01626679, , 
           -2,   0.002339296, , 
        -1.75,    0.02095084, , 
         -1.5,    0.03956242, , 
        -1.25,    0.05817392, , 
           -1,    0.07678406, , 
        -0.75,    0.09539407, , 
         -0.5,     0.1140034, , 
        -0.25,      0.132608, , 
            0,     0.1512117, , 
         0.25,     0.1698133, , 
          0.5,      0.188408, , 
         0.75,     0.2070005, , 
            1,      0.225589, , 
         1.25,      0.244169, , 
          1.5,     0.2627463, , 
         1.75,     0.2813159, , 
            2,     0.2998766, , 
         2.25,     0.3184344, , 
          2.5,     0.3369792, , 
         2.75,     0.3555154, , 
            3,      0.374047, , 
         3.25,     0.3925626, , 
          3.5,     0.4110693, , 
         3.75,     0.4295682, , 
            4,     0.4480503, , 
         4.25,     0.4665228, , 
          4.5,     0.4849821, , 
         4.75,      0.503426, , 
            5,      0.521857, , 
         5.25,     0.5402707, , 
          5.5,     0.5586698, , 
         5.75,     0.5770546, , 
            6,     0.5954153, , 
         6.25,     0.6137618, , 
          6.5,     0.6320945, , 
         6.75,     0.6503956, , 
            7,     0.6686826, , 
         7.25,     0.6869553, , 
          7.5,       0.70519, , 
         7.75,     0.7234092, , 
            8,     0.7416102, , 
         8.25,     0.7597726, , 
          8.5,     0.7779164, , 
         8.75,     0.7960348, , 
            9,     0.8141191, , 
         9.25,     0.8321769, , 
          9.5,     0.8501989, , 
         9.75,     0.8681971, , 
           10,     0.8861554, , 
        10.25,     0.9040727, , 
         10.5,     0.9219734, , 
        10.75,     0.9398219, , 
           11,     0.9576192, , 
        11.25,     0.9754071, , 
         11.5,     0.9931274, , 
        11.75,      1.010795, , 
           12,      1.028458, , 
        12.25,       1.04603, , 
         12.5,      1.063552, , 
        12.75,      1.081066, , 
           13,      1.098469, , 
        13.25,      1.115831, , 
         13.5,      1.133167, , 
        13.75,      1.150377, , 
           14,      1.167562, , 
        14.25,      1.184687, , 
         14.5,      1.201679, , 
        14.75,      1.218615, , 
           15,      1.235525, , 
        15.25,      1.252269, , 
         15.5,      1.268945, , 
        15.75,      1.285549, , 
           16,      1.302013, , 
        16.25,      1.318364, , 
         16.5,      1.334611, , 
        16.75,      1.350676, , 
           17,      1.366691, , 
        17.25,       1.38248, , 
         17.5,      1.398051, , 
        17.75,      1.413509, , 
           18,       1.42854, , 
        18.25,      1.443067, , 
         18.5,      1.457144, , 
        18.75,      1.471105, , 
           19,      1.484865, , 
        19.25,       1.49811, , 
         19.5,      1.511142, , 
        19.75,      1.523828, , 
           20,      1.535859, , 
        20.25,      1.547628, , 
         20.5,       1.55922, , 
        20.75,       1.57047, , 
           21,      1.581354, , 
        21.25,      1.591526, , 
         21.5,      1.601178, , 
        21.75,      1.610295, , 
           22,      1.619121, , 

